file name,titls as per dsbc,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
book_182.xml,Śākyasiṃhastotram (navagrahakṛtam),T01n875u,,,,Not found.,Śākyasiṃhastotra: navagrahakṛtam,,,,https://www.dsbcproject.org/canon-text/book/182,,
book_180.xml,Śākyasiṃhastotram (chando&amp;#039;mṛtoddhṛtam),T01n873u,,,,Not found.,Śākyasiṃhastotra: chando'mṛtoddhṛtam,,,,https://www.dsbcproject.org/canon-text/book/180,,
book_179.xml,Śākyasiṃhastotram (brahmaṇā kṛtam),T01n872u,,,,Not found.,Śākyasiṃhastotra: brahmaṇā kṛtam,,,,https://www.dsbcproject.org/canon-text/book/179,,
book_178.xml,Nāmāṣṭaśatakaya,T01n871u,,,,Not found.,Nāmāṣṭaśatakaya,,,,https://www.dsbcproject.org/canon-text/book/178,,
book_177.xml,Buddhastotram,T01n870u,,,,Not found.,Buddhastotra,,,,https://www.dsbcproject.org/canon-text/book/177,,
book_176.xml,Buddhagadyaya,T01n869u,,,,Not found.,Buddhagadyaya [Buddhagajjaya],,,,https://www.dsbcproject.org/canon-text/book/176,,
book_175.xml,Buddhabhaṭṭārakastotram,T01n868u,,,,Not found.,Buddhabhaṭṭārakastotra,,,,https://www.dsbcproject.org/canon-text/book/175,,
book_174.xml,Bhaktiśatakam,T01n867u,,,,Not found.,Bhaktiśataka,,,,https://www.dsbcproject.org/canon-text/book/174,,
book_169.xml,Pratisarāstotram,T01n862u,,,,Not found.,Pratisarāstotra,,,,https://www.dsbcproject.org/canon-text/book/169,,
book_168.xml,Pañcarakṣādevīstotrāṇi,T01n861u,,,,Not found.,Pañcarakṣādevīstotrāṇi,,,,https://www.dsbcproject.org/canon-text/book/168,,
book_166.xml,Sragdharāpañcakastotram,T01n859u,,,,Not found.,Sragdharāpañcakastotra,,,,https://www.dsbcproject.org/canon-text/book/166,,
book_165.xml,Pañcatathāgatastutigāthā,T01n858u,,,,Not found.,Pañcatathāgatastutigāthā,,,,https://www.dsbcproject.org/canon-text/book/165,,
book_164.xml,Pañcatathāgatastotram,T01n857u,,,,Not found.,Pañcatathāgatastotra,,,,https://www.dsbcproject.org/canon-text/book/164,,
book_163.xml,Nairātmāṣṭakastotram,T01n856u,,,,Not found.,Nairātmāṣṭakastotra,,,,https://www.dsbcproject.org/canon-text/book/163,,
book_162.xml,Guhyeśvarīstotram,T01n855u,,,,Not found.,Guhyeśvarīstotra,,,,https://www.dsbcproject.org/canon-text/book/162,,
book_161.xml,mañjuśrīstotram,T01n854u,,,,Not found.,Mañjuśrīstotra,,,,https://www.dsbcproject.org/canon-text/book/161,,
book_160.xml,(Ārya)mañjuśrīnāmāṣṭottaraśatakastotram,T01n853u,,,,Not found.,Mañjuśrīnāmāṣṭottaraśatakastotra [Āryamañjuśrīnāmāṣṭottaraśatakastotra],,,,https://www.dsbcproject.org/canon-text/book/160,,
book_159.xml,Vajramahākālastotram,T01n852u,,,,Not found.,Vajramahākālastotra,,,,https://www.dsbcproject.org/canon-text/book/159,,
book_158.xml,Mahākālastotram,T01n851u,,,,Not found.,Mahākālastotra,,,,https://www.dsbcproject.org/canon-text/book/158,,
book_157.xml,Mahācakravartināmāṣṭottaraśatastotram,T01n850u,,,,Not found.,Mahācakravartināmāṣṭottaraśatastotra,,,,https://www.dsbcproject.org/canon-text/book/157,,
book_152.xml,Hāratīstotram,T01n845u,,,,Not found.,Hāratīstotra,,,,https://www.dsbcproject.org/canon-text/book/152,,
book_151.xml,Gaṇeśastotram,T01n844u,,,,Not found.,Gaṇeśastotra,,,,https://www.dsbcproject.org/canon-text/book/151,,
book_150.xml,Gaṇḍīstavaḥ,T01n843u,,,,Not found.,Gaṇḍīstava,,,,https://www.dsbcproject.org/canon-text/book/150,,
book_149.xml,Buddhagaṇḍīstavaḥ,T01n842u,,,,Not found.,Buddhagaṇḍīstava,,,,https://www.dsbcproject.org/canon-text/book/149,,
book_148.xml,Pañcākṣarastotram,T01n841u,,,,Not found.,Pañcākṣarastotra,,,,https://www.dsbcproject.org/canon-text/book/148,,
book_147.xml,Dharmadhātunāmastavaḥ,T01n840u,,,,Not found.,Dharmadhātunāmastava,,,,https://www.dsbcproject.org/canon-text/book/147,,
book_146.xml,Vasantatilakāstutiḥ,T01n839u,,,,Not found.,Vasantatilakāstuti,,,,https://www.dsbcproject.org/canon-text/book/146,,
book_145.xml,Ṣaṭtriṃśatsaṃvarastutiḥ,T01n838u,,,,Not found.,Ṣaṭtriṃśatsaṃvarastuti,,,,https://www.dsbcproject.org/canon-text/book/145,,
book_144.xml,Pīṭhastavaḥ,T01n837u,,,,Not found.,Pīṭhastava,,,,https://www.dsbcproject.org/canon-text/book/144,,
book_143.xml,Catuḥṣaṣṭisaṃvarastotram,T01n836u,,,,Not found.,Catuḥṣaṣṭisaṃvarastotra,,,,https://www.dsbcproject.org/canon-text/book/143,,
book_142.xml,Cakrasaṃvarastutiḥ,T01n835u,,,,Not found.,Cakrasaṃvarastuti,,,,https://www.dsbcproject.org/canon-text/book/142,,
book_141.xml,Vidyākṣarastotram,T01n834u,,,,Not found.,Vidyākṣarastotra,,,,https://www.dsbcproject.org/canon-text/book/141,,
book_140.xml,Caityavandanāstotram,T01n833u,,,,Not found.,Caityavandanāstotra,,,,https://www.dsbcproject.org/canon-text/book/140,,
book_139.xml,Daśabhūmīśvaro nāma mahāyānasūtraratnarājastotram,T01n832u,,,,Not found.,Daśabhūmīśvaro nāma mahāyānasūtraratnarājastotra,,,,https://www.dsbcproject.org/canon-text/book/139,,
book_138.xml,Vāgvāṇīstotram,T01n831u,,,,Not found.,Vāgvāṇīstotra,,,,https://www.dsbcproject.org/canon-text/book/138,,
book_137.xml,Śāradāṣṭakastotram,T01n830u,,,,Not found.,Śāradāṣṭakastotra,,,,https://www.dsbcproject.org/canon-text/book/137,,
book_136.xml,Saptavidhānuttarastotram,T01n829u,,,,Not found.,Saptavidhānuttarastotra,,,,https://www.dsbcproject.org/canon-text/book/136,,
book_135.xml,Saptākṣarastotram,T01n828u,,,,Not found.,Saptākṣarastotra,,,,https://www.dsbcproject.org/canon-text/book/135,,
book_134.xml,Ṣaḍgatistotram,T01n827u,,,,Not found.,Ṣaḍgatistotra,,,,https://www.dsbcproject.org/canon-text/book/134,,
book_133.xml,Rūpastavaḥ,T01n826u,,,,Not found.,Rūpastava,,,,https://www.dsbcproject.org/canon-text/book/133,,
book_132.xml,Ratnamālāstotram,T01n825u,,,,Not found.,Ratnamālāstotra,,,,https://www.dsbcproject.org/canon-text/book/132,,
book_131.xml,Rakṣākāla (kara) stavaḥ,T01n824u,,,,Not found.,Rakṣākāla(kara)stava,,,,https://www.dsbcproject.org/canon-text/book/131,,
book_130.xml,Potalakāṣṭakam,T01n823u,,,,Not found.,Potalakāṣṭaka,,,,https://www.dsbcproject.org/canon-text/book/130,,
book_129.xml,Narakoddhārastotram,T01n822u,,,,Not found.,Narakoddhārastotra,,,,https://www.dsbcproject.org/canon-text/book/129,,
book_128.xml,Lokeśvarastotram,T01n821u,,,,Not found.,Lokeśvarastotra,,,,https://www.dsbcproject.org/canon-text/book/128,,
book_127.xml,Lokeśvaraśatakam,T01n820u,,,,Not found.,Lokeśvaraśataka,,,,https://www.dsbcproject.org/canon-text/book/127,,
book_126.xml,Lokanāthastotram,T01n819u,,,,Not found.,Lokanāthastotra,,,,https://www.dsbcproject.org/canon-text/book/126,,
book_125.xml,Avalokiteśvarāṣṭottaraśatanāmastotram,T01n818u,,,,Not found.,Avalokiteśvarāṣṭottaraśatanāmastotra,,,,https://www.dsbcproject.org/canon-text/book/125,,
book_124.xml,Avalokiteśvarastotram (carapatipādaviracitam),T01n817u,,,,Not found.,Avalokiteśvarastotra,,Carapatipāda,P0AT0263,https://www.dsbcproject.org/canon-text/book/124,,
book_123.xml,Avalokiteśvarastotram,T01n816u,,,,Not found.,Avalokiteśvarastotra,,,,https://www.dsbcproject.org/canon-text/book/123,,
book_122.xml,Avalokiteśvarastavaḥ (candrakāntābhikṣuṇīkṛtaḥ),T01n815u,,,,Not found.,Avalokiteśvarastava,,Candrakāntābhikṣuṇī,P0AT0262,https://www.dsbcproject.org/canon-text/book/122,,
book_121.xml,Avalokiteśvarāṣṭakastotram,T01n814u,,,,Not found.,Avalokiteśvarāṣṭakastotra,,,,https://www.dsbcproject.org/canon-text/book/121,,
book_120.xml,Avalokiteśvarahayagrīvadhāraṇī,T01n813u,,,,"Not found. One reference, i.e., T18n0901, seems to be referring to the Dhāraṇīsamuccaya(sūtra) and not the current text.",Avalokiteśvarahayagrīvadhāraṇī,,,,https://www.dsbcproject.org/canon-text/book/120,,
book_119.xml,Avadhānastotram (vandanāstavaṃ vā),T01n812u,,,,Not found.,Avadhānastotra [Vandanāstava],,,,https://www.dsbcproject.org/canon-text/book/119,,
book_118.xml,Aṣṭamātṛkāstotram,T01n811u,,,,Not found.,Aṣṭamātṛkāstotra,,,,https://www.dsbcproject.org/canon-text/book/118,,
book_117.xml,Maṅgalāṣṭakam,T01n810u,,,T14n0429,,Maṅgalāṣṭaka,,,,https://www.dsbcproject.org/canon-text/book/117,,
book_116.xml,(Ārya)tārāstutiḥ,T01n809u,,,,Not found.,Tārāstuti [Āryatārāstuti],,,,https://www.dsbcproject.org/canon-text/book/116,,
book_113.xml,(Ārya) tārānamaskāraikaviṃśatistotram,T01n806u,,,,Not found.,Tārānamaskāraikaviṃśatistotra [Āryatārānamaskāraikaviṃśatistotra],,,,https://www.dsbcproject.org/canon-text/book/113,,
book_112.xml,Ākāśagarbhanāmāṣṭottaraśatastotram,T01n805u,,,,Not found.,Ākāśagarbhanāmāṣṭottaraśatastotra,,,,https://www.dsbcproject.org/canon-text/book/112,,
book_111.xml,Vikramāraccivaibhavam,T01n804u,,,,Not found.,Vikramāraccivaibhava,,,,https://www.dsbcproject.org/canon-text/book/111,,
book_109.xml,Ādibuddhadvādaśakastotram,T01n802u,,,,Not found.,Ādibuddhadvādaśakastotra,,,,https://www.dsbcproject.org/canon-text/book/109,,
book_842.xml,Bhadracaryādeśanā,T01n2971u,,,,Not found.,Bhadracaryādeśanā,,,,https://www.dsbcproject.org/canon-text/book/842,,
book_796.xml,Dharmadhātustava,T01n2925u,,,T32n1675,,Dharmadhātustava,,,,https://www.dsbcproject.org/canon-text/book/796,,
book_760.xml,Dvādaśakāranayastotram,T01n2888u,,,,Not found.,Dvādaśakāranayastotra,,,,https://www.dsbcproject.org/canon-text/book/760,,
book_49.xml,Mahāvadānasūtram,K14n445u,,,T01n0002,"I couldn't find the 大本經 in the Taishō. Michael: T2, Mahāvadāna: also T3? Note lists of parallels in HBGR: T1(1), T2, 4, T125(48.4).",Mahāvadānasūtra,,,,https://www.dsbcproject.org/canon-text/book/49,,
book_883.xml,Mahāvastu Avadāna (Vol 1),K14n3013u,,,,"Not found. That is, I found the only reference I came across to the Ekottarikāgama (C. 增壹阿含經, T02n0125) not convincing.",Mahāvastu Avadāna,,,,https://www.dsbcproject.org/canon-text/book/883,,https://archive.org/details/in.ernet.dli.2015.408378/mode/2up
book_818.xml,Vajrasattvaniṣpādana Sūtra,K14n2947u,,,,Not found.,Vajrasattvaniṣpādanasūtra [Vajrasattvasādhana],,Candrakīrti,P5782,https://www.dsbcproject.org/canon-text/book/818,,
book_38.xml,catuṣpariṣat sūtram,K14n285u,,,,"Not found. Howver, one could check ""Waldschmidt, Ernst 1957 (vol. 2): Das Catuṣpariṣatsūtra, eine kanonische Lehrschrift über die Begründung der buddhistischen Gemeinde, Text in Sanskrit und tibetisch, verglichen mit dem Pāli nebst einer Übersetzung der chinesischen Entsprechung im Vinaya der Mūlasarvâstivādins, auf Grund von Turfan-Handschriften herausgegeben und bearbeitet, Berlin: Akademie Verlag."" if one has access to it.",Catuṣpariṣatsūtra,,,,https://www.dsbcproject.org/canon-text/book/38,,
book_6.xml,Mahāsattvamaṇicūḍamahārājabodhisattvāvadānam,K14n192u,,,,Not found.,Mahāsattvamaṇicūḍamahārājabodhisattvāvadāna,,,,https://www.dsbcproject.org/canon-text/book/6,,
book_5.xml,Kaṭhināvadāna,K14n191u,,,,Not found.,Kaṭhināvadāna,,,,https://www.dsbcproject.org/canon-text/book/5,,
book_862.xml,Āryaśrīgrahamātṛkā nāma dhāraṇī,K12n2990u,,,,Not found.,Āryaśrīgrahamātṛkā nāma dhāraṇī,,,,https://www.dsbcproject.org/canon-text/book/862,,
book_723.xml,Śrīguhyasamājatantram,K12n2967u,K12D0442-0443_H0416,D0442,,Not found.,Śrīguhyasamājatantra,,,,https://www.dsbcproject.org/canon-text/book/723,,
book_820.xml,Dhāraṇī Saṃgraha,K12n2949u,,,,"Not found. That is, I find the reference to the Dhāraṇīsamuccaya(sūtra) (C. 陀羅尼集經, T18n0901) not entirely convincing.",Dhāraṇīsaṃgraha,,,,https://www.dsbcproject.org/canon-text/book/820,,
book_794.xml,Amoghapāśakalparāja Part VII,K12n2922u,,,T20n1092,,Amoghapāśakalparāja Part VII,,,,https://www.dsbcproject.org/canon-text/book/794,,
book_792.xml,Amoghapāśakalparāja Part VI,K12n2920u,,,T20n1092,,Amoghapāśakalparāja Part VI,,,,https://www.dsbcproject.org/canon-text/book/792,,
book_36.xml,Bhaiṣajyaguruvaidūryaprabharājasūtram,K12n283u,K12D0504_H0472,D0504,"T14n0449, T14n0450, T14n0451",I'm not entirely certain whether T14n0449 corresponds to the current text.,Bhaiṣajyaguruvaidūryaprabharājasūtra,,,,https://www.dsbcproject.org/canon-text/book/36,,
book_24.xml,Aparimitāyuḥ nāma mahāyāna sūtram,K12n259u,,,,Not found.,Aparimitāyunāmamahāyānasūtra,,,,https://www.dsbcproject.org/canon-text/book/24,,
book_19.xml,Ṣaṇmukhī dhāraṇī,K12n221u,,,T21n1360,,Ṣaṇmukhīdhāraṇī,,,,https://www.dsbcproject.org/canon-text/book/19,,
book_18.xml,Nārāyaṇaparipṛcchā āryamahāmāyāvijayavāhinī nāma dhāraṇī,K12n220u,,,,Not found.,Nārāyaṇaparipṛcchā āryamahāmāyāvijayavāhinī nāma dhāraṇī,,,,https://www.dsbcproject.org/canon-text/book/18,,
book_63.xml,Āryābuddhabalādhānaprātihāryavikurvaṇanirdeśanā mamahāyānasūtram,K10n552u,,,,Not found.,Āryābuddhabalādhānaprātihāryavikurvaṇanirdeśanāma mahāyānasūtra,,,,https://www.dsbcproject.org/canon-text/book/63,,
book_57.xml,Sarvatathāgatādhiṣṭhānavyūham sūtram,K10n526u,,,,Not found.,Sarvatathāgatādhiṣṭhānavyūhasūtra,,,,https://www.dsbcproject.org/canon-text/book/57,,
book_50.xml,Megha sūtram,K10n446u,,,,Not found.,Meghasūtra,,,,https://www.dsbcproject.org/canon-text/book/50,,
book_47.xml,Mahāmegha sūtram,K10n443u,,,"T12n0387, T19n0989, T19n0991, T19n0992, T19n0993",,Mahāmeghasūtra,,,,https://www.dsbcproject.org/canon-text/book/47,,
book_813.xml,Saddharmasmṛtyupasthānasūtra,K10n2942u,K10D0287_H0289,D0287,,Not found.,Saddharmasmṛtyupasthānasūtra,,,,https://www.dsbcproject.org/canon-text/book/813,,
book_33.xml,Āryatriratnānusmṛtisūtram,K10n269u,,,,Not found.,Āryatriratnānusmṛtisūtra,,,,https://www.dsbcproject.org/canon-text/book/33,,
book_31.xml,Āryasaṃghāṭa sūtram,K10n267u,K10D0102_H0105,D0102,T13n0423,,Āryasaṃghāṭasūtra,,,,https://www.dsbcproject.org/canon-text/book/31,,
book_30.xml,Āryasāgaranāgarājaparipṛcchā nāma mahāyānasūtram,K10n266u,K10D0155_H0156,D0155,,Not found.,Āryasāgaranāgarājaparipṛcchānāmamahāyānasūtra,,,,https://www.dsbcproject.org/canon-text/book/30,,
book_27.xml,Āryānityatā sūtram,K10n262u,,,"T17n0758, T17n0801",,Āryānityatāsūtra,,,,https://www.dsbcproject.org/canon-text/book/27,,
book_25.xml,Arthaviniścayasūtram,K10n260u,K10D0317_H0321,D0317,,Not found.,Arthaviniścayasūtra,,,,https://www.dsbcproject.org/canon-text/book/25,,
book_13.xml,Avikalpapraveśadhāraṇī,K10n206u,K10D0142_H0144,D0142,T15n0654,,Avikalpapraveśadhāraṇī [Avikalpapraveśadhāraṇīsūtra],,,,https://www.dsbcproject.org/canon-text/book/13,,
book_754.xml,Pañcaśatikā prajñāpāramitā,K06n2882u,K06D0015_H0016,D0015,T08n0260,,Pañcaśatikāprajñāpāramitā [Pañcaśatikāprajñāpāramitāsūtra],,,,https://www.dsbcproject.org/canon-text/book/754,,
book_88.xml,Bhikṣuṇī vinaya,K01n742u,,,T22n1427,,Bhikṣuṇīvinaya,,,,https://www.dsbcproject.org/canon-text/book/88,,
book_825.xml,Upasampadā jñaptiḥ,K01n2954u,,,,Not found.,Upasampadājñapti,,,,https://www.dsbcproject.org/canon-text/book/825,,
book_776.xml,Lokeśvara-pārājikā,K01n2904u,,,,Not found.,Lokeśvarapārājikā,,,,https://www.dsbcproject.org/canon-text/book/776,,
book_772.xml,Maṃjuśrīpārājikā,K01n2900u,,,,Not found.,Maṃjuśrīpārājikā,,,,https://www.dsbcproject.org/canon-text/book/772,,
book_768.xml,Śrīlokeśvarabhāṣitaparājikā,K01n2896u,,,,Not found.,Śrīlokeśvarabhāṣitaparājikā,,,,https://www.dsbcproject.org/canon-text/book/768,,
book_766.xml,Saddharma-pārājikā,K01n2894u,,,,Not found.,Saddharmapārājikā,,,,https://www.dsbcproject.org/canon-text/book/766,,
book_764.xml,Vajrasatva-pārājikā,K01n2892u,,,,Not found.,Vajrasatvapārājikā [Vajrasattvapārājikā],,,,https://www.dsbcproject.org/canon-text/book/764,,
book_725.xml,Śayanāsanavastu,K01n2853u,,,,Not found.,Śayanāsanavastu,,,,https://www.dsbcproject.org/canon-text/book/725,,
