file_name,catalogue_no,title,author,author_id,tōh.,CBETA number,Remarks Chinese translation,url,archive.org,reconstructed (y/n),best_text,duplicate_of_standard
svabhāvavāda_book_721.xml,book_721,Svabhāvavāda,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/721,,,,
madhyamārthasaṃgraha_book_244.xml,book_244,Madhyamārthasaṃgraha,,,D3857,,Not found.,https://www.dsbcproject.org/canon-text/book/244,,,,
madhyamakahṛdaya_book_240.xml,book_240,Madhyamakahṛdaya,Bhāvaviveka,,D3855,,Not found.,https://www.dsbcproject.org/canon-text/book/240,,,,
hastavālaprakaraṇavṛtti_book_239.xml,book_239,Hastavālaprakaraṇavṛtti,,,,T1620,Michael: but cf. T1620 (could extract at least a partial parallel from Skt? or is Hastavālaprakaraṇa per se listed elsewhere in your table?).,https://www.dsbcproject.org/canon-text/book/239,,,n,gretil_sa/sa_hastavAlaprakaraNavRtti.xml
ṣaṭpāramitāstotra_book_172.xml,book_172,Ṣaṭpāramitāstotra,,,D0675,,Not found.,https://www.dsbcproject.org/canon-text/book/172,,,,
prajñāpāramitāstuti_book_171.xml,book_171,Prajñāpāramitāstuti,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/171,,,,
abhisamayālaṇkāraloka_book_276.xml,book_276,Abhisamayālaṇkāraloka,Haribhadra,P7297,D3791,,Not found.,https://www.dsbcproject.org/canon-text/book/276,,,,
sekoddeśapañjikā_book_106.xml,book_106,Sekoddeśapañjikā,,,D1354,,Not found.,https://www.dsbcproject.org/canon-text/book/106,,,,
ḍākinījālasaṃvararahasya_book_104.xml,book_104,Ḍākinījālasaṃvararahasya,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/104,,,,
cakrasaṃvaratantram_vol._2_book_81.xml,book_81,Cakrasaṃvaratantram (vol. 2),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/81,,,,
cakrasaṃvaratantram_vol._1_book_80.xml,book_80,Cakrasaṃvaratantram (vol. 1),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/80,,,,
laghukaumudīvyākaraṇa_book_881.xml,book_881,Laghukaumudīvyākaraṇa,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/881,,,,
boudhatantroktasiddhauṣadhisaṅgraha_book_876.xml,book_876,Boudhatantroktasiddhauṣadhisaṅgraha,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/876,,,,
laghutantraṭīkā_book_866.xml,book_866,Laghutantraṭīkā,Vajrapāṇi,,D1402,,Not found.,https://www.dsbcproject.org/canon-text/book/866,,,,
jñānasiddhi_book_860.xml,book_860,Jñānasiddhi,,,D2219,,Not found.,https://www.dsbcproject.org/canon-text/book/860,,,,
caryāsaṃgraha_book_856.xml,book_856,Caryāsaṃgraha,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/856,,,,
mañjuvajramukhyākhyāna_book_854.xml,book_854,Mañjuvajramukhyākhyāna,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/854,,,,
munimatālaṁkāra_book_846.xml,book_846,Munimatālaṁkāra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/846,,,,
kālacakrāvatāra_book_838.xml,book_838,Kālacakrāvatāra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/838,,,,
āryamāyājālamahātantroddhṛtamaṇḍalagāthāṭippaṇī_book_836.xml,book_836,Āryamāyājālamahātantroddhṛtamaṇḍalagāthāṭippaṇī,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/836,,,,
tattvajñānasaṃsiddhi-mahāsukharakāśikā-ṭīkā_book_834.xml,book_834,Tattvajñānasaṃsiddhi-mahāsukharakāśikā-ṭīkā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/834,,,n,gretil_sa/sa_zUnyasamAdhipAda-tattvajJAnasaMsiddhi.xml
kriyāsaṁgrahapañjikā_book_828.xml,book_828,Kriyāsaṁgrahapañjikā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/828,,,,
bauddhadharme_tathā_purāṇeṣu_karuṇā_book_823.xml,book_823,Bauddhadharme tathā purāṇeṣu karuṇā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/823,,,,
paribhāṣāvṛtte_book_817.xml,book_817,Paribhāṣāvṛtte,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/817,,,,
abhayapaddhati_book_805.xml,book_805,Abhayapaddhati,Abhayākaragupta,P4004,D1654,,Not found.,https://www.dsbcproject.org/canon-text/book/805,https://archive.org/details/bdrc-W3CN22959/mode/2up,,,
adhyātmasāraśataka_saṭīka_book_803.xml,book_803,Adhyātmasāraśataka (saṭīka),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/803,,,,
tattvaratnāvalī_book_790.xml,book_790,Tattvaratnāvalī,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/790,,,,
śrīsahajasiddhi_book_786.xml,book_786,Śrīsahajasiddhi,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/786,,,,
prajñopāyaviniścayasiddhi_book_784.xml,book_784,Prajñopāyaviniścayasiddhi,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/784,,,,
ādikarmapradīpa_book_782.xml,book_782,Ādikarmapradīpa,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/782,https://archive.org/details/bouddhismetudes00goog/mode/2up,,,
balimālikā_book_780.xml,book_780,Balimālikā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/780,,,,
mantroddhāra_book_778.xml,book_778,Mantroddhāra,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/778,,,,
samājasādhanavyavastholi_book_758.xml,book_758,Samājasādhanavyavastholi,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/758,,,,
samantabhadranāmasādhanaṭīkā_book_756.xml,book_756,Samantabhadranāmasādhanaṭīkā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/756,,,,
bauddhapāribhāṣikā_śabdā_book_749.xml,book_749,Bauddhapāribhāṣikā śabdā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/749,,,,
vāṅmaṇḍalanamaskāraślokā_book_745.xml,book_745,Vāṅmaṇḍalanamaskāraślokā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/745,,,,
tattvasiddhi_book_359.xml,book_359,Tattvasiddhi,,,,T32n1646,,https://www.dsbcproject.org/canon-text/book/359,,,,
śrīguhyasamājamaṇḍalavidhi_book_357.xml,book_357,Śrīguhyasamājamaṇḍalavidhi,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/357,,,,
upodghāta_book_353.xml,book_353,Upodghāta,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/353,,,,
śrīvajravārāhisādhana_book_351.xml,book_351,Śrīvajravārāhisādhana,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/351,,,,
sarahapādasya_dohākoṣa_book_350.xml,book_350,Sarahapādasya Dohākoṣa,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/350,,,,
marmakālikā_book_348.xml,book_348,Marmakālikā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/348,,,,
mahāmāyātantram_guṇavatīṭīkāsahitam_book_347.xml,book_347,Mahāmāyātantram (Guṇavatīṭīkāsahitam),,,,,Not found.,https://www.dsbcproject.org/canon-text/book/347,,,,
mahāmāyāsādhanopāyikā_book_346.xml,book_346,Mahāmāyāsādhanopāyikā,,,,,Not found.,https://www.dsbcproject.org/canon-text/book/346,,,,
