xml filename,htm filename,Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive,DSBC
sa_haribhadrasUri-nyAyapravezapravRtti.xml,bsa066_u.htm,T11bsa066_u,,,,Not found.,Nyāyapraveśapravṛtti,,Haribhadrasūri,P0ER0009,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa066_u.htm,,,y
sa_dharmakIrti-vAdanyAya-alt.xml,bsa064_u.htm,T11bsa064_u,T11D4218,D4218,,Not found.,Vādanyāya,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa064_u.htm,,https://archive.org/search.php?query=V%C4%81dany%C4%81ya,y
sa_dharmakIrti-saMbandhaparIkSA-comm.xml,bsa063_u.htm,T11bsa063_u,"D4214, D4215","D4214, D4215",,Not found.,Sambandhaparīkṣā,With Prabhācandra's commentary,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa063_u.htm,,,y
sa_vinItadeva-saMtAnAntarasiddhiTIkA.xml,bsa061_u.htm,T11bsa061_u,T11D4238,D4238,,Not found.,Santānāntarasiddhiṭīkā,With mūla,Vinītadeva,P9951,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa061_u.htm,Reconstructed,https://archive.org/details/tibetskiperevods00dhar,y
sa_dharmakIrti-saMtAnAntarasiddhi.xml,bsa059_u.htm,T11bsa059_u,T11D4219,D4219,,Not found.,Santānāntarasiddhi,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa059_u.htm,,https://archive.org/details/tibetskiperevods00dhar,y
sa_dharmakIrti-nyAyabinduprakaraNakArikA.xml,bsa057_u.htm,T11bsa057_u,T11D4212,D4212,,Not found.,Nyāyabindu Prakaraṇakārikā,,Dharmakīrti,P6120,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa057_u.htm,,,y
sa_antarvyAptisamarthana.xml,bsa0556u.htm,T11bsa0556u,T11D4260,D4260,,Not found.,Antarvyāptisamarthana,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0556u.htm,,,y
sa_paNDitAzoka-sAmAnyadUSaNadikprasAritA.xml,bsa0555u.htm,T11bsa0555u,,,,Not found.,Sāmānyadūṣaṇadikprasāritā,,Paṇḍitāśoka,P0ER0011,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0555u.htm,,,y
sa_paNDitAzoka-avayavinirAkaraNa.xml,bsa0554u.htm,T11bsa0554u,,,,Not found.,Avayavinirākaraṇa,,Paṇḍitāśoka,P0ER0011,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0554u.htm,,,y
sa_ratnakIrti-kSaNabhaGgasiddhi-vyatirekAtmikA-alt.xml,bsa0553u.htm,T11bsa0553u,,,,Not found.,Kṣaṇabhaṅgasiddhi vyatirekātmikā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0553u.htm,,,y
sa_kSaNabhaGgasiddhi.xml,bsa0552u.htm,T11bsa0552u,,,,Not found.,Kṣaṇabhaṅgasiddhi,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa0552u.htm,,,y
