Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
GV01rv_02_u,,,,,Ṛgveda 2,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_02_u.htm,,https://archive.org/search.php?query=%E1%B9%9Agveda
GV01rv_01_u,,,,,Ṛgveda 1,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/1_rv/rv_01_u.htm,,https://archive.org/search.php?query=%E1%B9%9Agveda
GV00samavedu,,,,,Sāmaveda-Saṃhitā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/samavedu.htm,,https://archive.org/search.php?query=S%C4%81maveda-Sa%E1%B9%83hit%C4%81
GV00sa_paippalAdasaMhitA,,,,,Paippalāda-Saṃhitā,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paippalAdasaMhitA.htm,,https://archive.org/search.php?query=Paippal%C4%81da-Sa%E1%B9%83hit%C4%81
GV00maitrs_pu,,,,,Maitrāyaṇī-Saṃhitā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_pu.htm,,https://archive.org/search.php?query=Maitr%C4%81ya%E1%B9%87%C4%AB-Sa%E1%B9%83hit%C4%81
GV00avs___u,,,,,Atharvaveda-Saṃhitā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs___u.htm,,https://archive.org/search.php?query=Atharvaveda-Samhita
GSP35sa_mokSopAya,,,,,Mokṣopāya,,Anonymus Casmiriensis,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mokSopAya.htm,,
GSP35sa_bhAskarakaNTha-mokSopAyaTIkA,,,,,Mokṣopāyaṭīkā,,Bhāskarakaṇṭha,P0AT0266,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_bhAskarakaNTha-mokSopAyaTIkA.htm,,
GSP34yogsubhu,,,,,Yogasūtra,With Bhāṣya,Patañjali,P0AT0153,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/yogsubhu.htm,,https://archive.org/search.php?query=Yogas%C5%ABtra
GSP34yogasutu,,,,,Yogasūtra,,Patañjali,P0AT0153,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/yogasutu.htm,,https://archive.org/search.php?query=Yogas%C5%ABtra
GSP34patyogbu,,,,,Yogasūtra,With Bhāṣya [Pātañjalayogaśāstra],Patañjali,P0AT0153,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/patyogbu.htm,,https://archive.org/search.php?query=Yogas%C5%ABtra
GSP34patyog_u,,,,,Yogasūtra,,Patañjali,P0AT0153,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/patyog_u.htm,,https://archive.org/search.php?query=Yogas%C5%ABtra
GSP34hathyopu,,,,,Haṭhayogapradīpikā,,Svātmārāma,P0AT0237,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/hathyopu.htm,,https://archive.org/search.php?query=Ha%E1%B9%ADhayogaprad%C4%ABpik%C4%81
GSP34ghers_pu,,,,,Gheraṇḍa-Saṃhitā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/yoga/ghers_pu.htm,,https://archive.org/search.php?query=Ghera%E1%B9%87%E1%B8%8Da-Sa%E1%B9%83hit%C4%81
GSP33yasasi_u,,,,,Siddhitraya: Part 3: Saṃvitsiddhi,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yasasi_u.htm,,
GSP33yamsvspu,,,,,Saṃvitsiddhi,,Yāmunācārya,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yamsvspu.htm,,
GSP33yamss_pu,,,,,Saṃvitsiddhi,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yamss_pu.htm,,
GSP33yamis_pu,,,,,Īśvarasiddhi,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yamis_pu.htm,,
GSP33yamgaspu,,,,,Gītārthasaṅgraha,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yamgaspu.htm,,https://archive.org/search.php?query=G%C4%ABt%C4%81rthasa%E1%B9%85graha
GSP33yaissi_u,,,,,Siddhitraya: Part 2: Īśvarasiddhi,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yaissi_u.htm,,
GSP33yaatsi_u,,,,,Siddhitraya: Part 1: Ātmasiddhi,,Yāmuna,P0AT0139,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/yaatsi_u.htm,,
GSP33vivcud_u,,,,,Vivekacūḍāmaṇi,,Śaṃkara,?,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/vivcud_u.htm,,
GSP33vacbhamu,,,,,Bhāmatī,,Vācaspati,P0AT0236,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/vacbhamu.htm,,https://archive.org/search.php?query=Bh%C4%81mat%C4%AB
GSP33samkupad_u,,,,,Upadeśasāhasrī,,Śaṃkara,?,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/samkupad_u.htm,,https://archive.org/details/in.ernet.dli.2015.407171
GSP33samkaubh_u,,,,,Kaṭhopaniṣadbhāṣya,,Śaṃkara,?,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vedanta/samkaubh_u.htm,,
