title,original_link,link,notes
,,,
vālmīkirāmāyaṇam,,https://sa.wikisource.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%AF%E0%A4%A3%E0%A4%AE%E0%A5%8D,fully included in gretil
yogavāsiṣṭhaḥ ,,https://sa.wikisource.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%A0%E0%A4%83,partially included in gretil
,,,
gargasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
lakṣmīnārāyaṇasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%B2%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%A8%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%AF%E0%A4%A3%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
,,,
jaiminīyāśvamedhaparva,,https://sa.wikisource.org/wiki/%E0%A4%9C%E0%A5%88%E0%A4%AE%E0%A4%BF%E0%A4%A8%E0%A5%80%E0%A4%AF%E0%A4%BE%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%AE%E0%A5%87%E0%A4%A7%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5,
pāñcarātrāgamaḥ,,,
aniruddhasaṃhitā,,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A4%BE,
