,filename,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
18,aSTamAtRkApUjA-M00540-IAST.txt,M00540,Aṣṭamātṛkāpūjā,,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti navapīṭha aṣṭamātṛkāpīṭhapūjāvidhiḥ samāptaḥ | śubhaṃ bhavantu sarvadā śubhaḥ,
19,ahirbudhnya saMhita Volume 1-M00002a-IAST.txt,M00002a,Ahirbudhnya Saṃhita Volume 1,,Pandit M. D. Ramanujacarya,,,of the pāñcarātrāgama,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,,,iti śrīpāñcarātre tantrarahasye ahirbudhnyasaṃhitāyāṃ rājñāṃ sudarśanayantrārādhanavidhānakeśavādiguṇapradhānabhāvavyavasthāpanaṃ nāma ṣaṭtriṃśo'dhyāyaḥ,
20,ahirbudhnya saMhita Volume 2-M00002b-IAST.txt,M00002b,Ahirbudhnya Saṃhita Volume 2,,Pandit M. D. Ramanujacarya,,,of the pāñcarātrāgama,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,,,iti śrīpāñcarātre tantrarahasye ahirbudhnyasaṃhitāyāṃ śāstravaibhavanirūpaṇaṃ nāma ṣaṣṭitamo'dhyāyaḥ || samāptā ceyamahirbudhnyasaṃhitā /// ahirbudhnyasaṃhitāpariśiṣṭaṃ sudarśana sahasranāmastotram /// ityahirbudhnyasaṃhitāyāṃ tantrarahasye vyāsanāradasaṃvāde śrīsudarśanasahasranāmastotraṃ saṃpūrṇam,
21,AgamakalpalatA-M00117-IAST.txt,M00117,Āgamakalpalatā,version 1,,M00117=M00659,exact copy/paste,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śākta']",Yadunātha,mbP0007,colophon,"Yadunātha Cakravartti, Yadunātha Śarma","catalog, incipit",śrīśrīyadunāthacakravartiviracitāyāmāgamakalpalatāyāṃprathamaḥpallavaḥ /// ityāgamakalpalatāṃyāṃyānāthaviracitāyāṃaṣṭāviṃśaḥpaṭalaḥ | samāpteyamāgamakalpalatāśrāgurūṇā,in middle /// at end
22,,M00659,Āgamakalpalatā,version 2,,M00117=M00659,exact copy/paste,,,,,,,,,['tantric / āgamic literature'],Yadunātha,mbP0007,colophon,"Yadunātha Cakravartti, Yadunātha Śarma","catalog, incipit",ityāgamakalpalatāṃyāṃyānāthaviracitāyāṃaṣṭāviṃśaḥpaṭalaḥ | samāpteyamāgamakalpalatāśrāgurūṇā,
23,AgamaprAmANya-M00001-IAST.txt,M00001,Āgamaprāmāṇya,,Rāmamiśraśāstri,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",Yāmuna,mbP0008,colophon,Yāmunāchāryaswāmin,catalog,iti śrīyāmunamuniviracitamāgamaprāmāṇyam,
24,āgamavacanasaṅgrahaḥ - I00020.txt,I00020,Āgamavacanasaṅgrahaḥ,version 1,,I00020=I00024,,,fragments,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,no,
25,āgamavacanasaṅgraha - I00024.txt,I00024,Āgamavacanasaṅgraha,version 2,,I00020=I00024,,,fragments,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti vātule pratiṣṭhā tantre vāstuvidhipaṭalaḥ /// iti vātulākhye mahātantre puṇyāhavidhipaṭalaḥ,in middle
26,,M00501,Ācārasāratantra,,,,,,,collection of excerpts,,Samayācāra,,,,"['tantra / āgama', 'kaula later post 1100 AD']","Svātmārāma, Unknown, Unknown, Unknown, Unknown",mbP0100,colophon ,,,iti śrīsakalaśāstrasamuccaye svātmārāmayogīndraviracitāyāṃ haṭhapradīpikāyāṃ caturthaḥ upadeśaḥ samāptaḥ /// ityācārasāratantre haragaurīsaṃvāde paramarahasyātirahasyakathane saṃvidākalpe saṃvicchodhanasvīkāravidhiḥ samāptaḥ paṭalaḥ /// iti śrīpārvatīśvarasaṃvāde samayācāraṃ sampūrṇam /// iti śrīrudrayāmale tantre pātravandananavastotraṃ samāptaṃ /// (AT END) ayaṃ strīṇāmatirajonivāraṇamaṃtra iti dvitīyakalpaṃ ca ulūkasya alaṃkṛtaṃ | śubhamastu ,5 parts
27,AjaDapramAtRsiddhi-M00502-IAST.txt,M00502,Ajaḍapramātṛsiddhi Vṛtti,version 2,Madhusudan Kaul Shastri,M00658=M00502,exact copy/paste,,,,colophon,,ilxM00001,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'pratyabhijñā']",Hara Śāstrī,mbP0129,colophon,Haribhaṭṭa Śāstrī,catalog,pramātṛsiddhāv ācāryotpaladevakṛtau manāk candrābdhyaṣṭenduśākābde śāstrī vṛttiṃ haro vyadhāt ity ajaḍapramātṛsiddhau śrīmānmahāmāheśvarācāryotpaladevapādaviracitāyāṃ vṛttiḥ samāptā,
,,ilxM00101,Ātmārpaṇastava,,,,,,,,,,,,,,,,,,,,
,,ilxM00102,Śivatatvavivekam,,,,,,,,,,,,,,,,,,,,
,,ilxM00103,Śrīcakranirmāṇa,,,,,,,,,,,,,,,,,,,,
,,ilxM00104,Śivajñānabodhopanyāsa,,,,,,,,,,,,,,Nigamajñānadeśika (I.E. Nigamajñānadeva),mbP0172,,,,,
28,ātmārpaṇastava - I00018.txt,I00018,"Ātmārpaṇastava, Śivatatvavivekam, Śrīcakranirmāṇa, Śivajñānabodhopanyāsa",,,,,,fragments,,,,"ilxM00101, ilxM00102, ilxM00103, ilxM00104",4 texts together in the same file,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']","Unknown, Unknown, Unknown, Nigamajñānadeśika (I.E. Nigamajñānadeva)",mbP0172,colophon,,,ātmārpaṇastavaḥ samāptaḥ /// śivatatvavivekam /// evaṃ śrīcakranirmāṇavidhiḥ /// iti bālabodhanāya saundaranāthaprītaye vyāghrapuravāsinā nigamajñānadeśikena viracitaśivajñānabodhopanyāsaḥ samāptaḥ,in middle
29,Anandatantra-M00066-IAST.txt,M00066,Ānandatantra,,"Dyczkowski, Mark S. G.",,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti dvātriṃśatkoṭivistīrṇe vidyāsvarūpaṃ nāma viṃśatitamaḥ (or: viṃśatiḥ) paṭalaḥ || ānaṃdataṃtraṃ saṃpūrṇam,
30,AnandezvarapaddhatiH-M00624-IAST.txt,M00624,Ānandeśvarapaddhatiḥ,,,,,,,,,,,,,['śaiva'],,,,,,itivisarjanamaṃtraḥ itikalādīkṣāyāṃrahasyacarcā ityānandeśvarapaddhatiḥsamāptā /// itiśrīrudriyāmaletaṃtrepaṃcamīstavarājaḥsamāptaḥ,in middle /// at end
31,AryamaJjuzrImUlakalpam Part 1-M00363-IAST.txt,M00363,Āryamañjuśrīmūlakalpam Part 1,,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,,,mahāyānamantracaryānirdeśyamahākalpāt mañjuśrīkumārabhūtabodhisattvavikurvaṇapaṭalavisarāt mūlakalpāt prathamaḥ sannipātaparivartaḥ,in middle
32,AryamaJjuzrImUlakalpam Part 2-M00364-IAST.txt,M00364,Āryamañjuśrīmūlakalpam Part 2,,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,,,āryamañjuśrīmūlakalpam dvitīyo bhāgaḥ atha trayoviṃśatitamaḥ paṭalavisaraḥ /// āryamañjuśriyamūlakalpāt bodhisattvapiṭakāvataṃsakāt mahāyānavaipulyasūtrāt saptacatvāriṃśatimaḥ paṭalavisarāt tṛtīyaḥ catuḥkumāryopayikasarvasādhanajapaniyamamudrā(-)oṣadhitantramantrasarvakarmapaṭalavisaraṃ parisamāpta iti śubhaṃ bhūyāt,at beginning /// at end
33,AryamaJjuzrImUlakalpam Part 3-M00365-IAST.txt,M00365,Āryamañjuśrīmūlakalpam Part 3,,T. Gaṇapatiśāstrī,,,,,,,,,,,['tantric / āgamic literature'],,,,,,āryamañjuśrīmūlakalpam tṛtīyo bhāgaḥ atha pañcāśaḥ paṭalavisaraḥ /// mahākalparājāt āryamañjuśrīmūlakalpāt (?) hemasādhanapaṭalaḥ visaraḥ parisaraḥ parisamāptaḥ | parisamāptaṃ ca yathāla (?) yasya kalpamiti | svasti śrīrā(?)ṅgalakāvasthitena mārgaśīrṣaśuklā (?) padānakṣatre siṃhasthe'pi gurau mañjuśrīkalpaṃ samāptamiti | śrīmūlaghoṣavihārādhipatinā śrīvo(?) madhyadeśād vinirgatena paṇḍitaravicandreṇa likhitamiti | (?) śubhaṃ bhūyāt  ,at beginning /// at end
34,āśīrvādaparamparā - I00005.txt,I00005,"Āśīrvādaparamparā, Samudrasnānavidhi, Kālaprakāśikā, Sudhivilocana",,,,,,incomplete/unclear,,,,,,,"['śaiva', 'śaiva-siddhānta']",,,,,,no,
