,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
268,M00072,Prāṇatoṣiṇī Arthakāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP0053,colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyaviracitayāṃ śrīprāṇatoṣiṇyāṃ tṛtīyamarthakāṇḍāṅgaṃ samāptam,
269,M00073,Prāṇatoṣiṇī Kamyakāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP053,colophon,Śrī Rāmatoṣaṇavidyālaṅkāra Bhaṭṭācārya,colophon,iti prāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyaviracitāyāṃ śrīprāṇatoṣiṇyāṃ kāmyābhidhānaṃ caturthakāṇḍaṃ samāptam,
270,M00071,Prāṇatoṣiṇī Dharmakāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP0053,colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ śrīrāmatoṣaṇavidyālaṅkārabhaṭṭācāryyacāviracitāyāṃ śrīprāṇatoṣiṇyāṃ dīkṣārūpaphalakathanātmakaṣaṣṭha-parichedānvitadharmakāṇḍaṃ samāptam,
271,M00061,Prāṇatoṣiṇī Jñānakāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP0053,colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇatoṣiṇī samāptā,
272,M00060,Prāṇatoṣiṇī Bhaktikāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP0053,colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇatoṣiṇyāṃ pañcame bhaktikāṇḍe śivaprakaraṇakathanarūpastṛtīyaḥ paricchedaḥ,
273,M00070,Prāṇatoṣiṇī Sargakāṇḍa,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",Rāmatoṣaṇa,mbP0053,colophon,Śrī Rāmatoṣaṇa Vidyālaṅkāra Bhaṭṭācārya,colophon,iti śrīprāṇakṛṣṇaviśvāsānumatāyāṃ viśvavijayiśrīrāmatoṣaṇavidyālaṅkāraviracitāyāṃ śrīprāṇatoṣiṇyāṃ phalakathanarūpadaśamaparicchedānvitaṃ sargakāṇḍaṃ samāptam,
274,M00268,Prāṇāgnihotra,,,,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,,,no,
275,M00303,Prāyaścittasamuccaya,,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",,,,,,prāyaścittasamuccayaḥ samāptamiti,
276,M00528,Prāsādacandrikā,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Jñānaprakāśa,mbP0052,colophon,Jyeṣṭha Jñānaprakāśa Vara Ācārya,colophon,iti śrīmatkalālayadevatīrthasya uttarataṭe nivāsi jyeṣṭhajñānaprakāśavarācārye tasyāruṇadevena saṃgṛhītāyāṃ prāsādacandrikāyāṃ mātrājyotīkāraṇeśvara sthānam ānādhvasamarasī bhāva viṣuvaśabdayojanavidhānavidhissamāptaḥ || śrīmadarūṇācalāya namaḥ || asmiṃśca kośe prāsādacandrikayā saha tatvasiddhāntavyākhyā siddhāntaprakāśikā daśakāryaṃ ṣaḍadhvatriṃśatkalānyāsaḥ puruṣārthasudhānidhiḥ suprabhedāgamaḥ iti nāmakā vilikhitā vartante,
,ilxM00044,Prāsādaṣaṭśloki,,,,,,,,,,,,,,,,,,,,
277,M00529,Prāsādaṣaṭślokī Vyākhyā,,,,,,,"yes, but second part of text unclear",colophon,,ilxM00044,commentary,including the mūla,['tantric / āgamic literature'],,,,,,yathāmati gaṇādhīśa kṛpāleśānmayādhunā | śrīmatprāsāda saṭślokyā vyākhyānaṃ likhyate laghu /// iti ṣaṭślokaṃ vyākhyanaṃ samāptaḥ + additional text,towards beginning /// in middle
278,M00256,Prodgītāgama,,,,,vivāhavidhimātram,fragments,fragments (ch.25-26 only),,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti prodgīte vivāhavidhirnāma ṣaḍviṃśati paṭalaḥ,
279,M00414,Pheṭakapratiṣṭhācaṇḍikāgnividhi,,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,,, atha pheṭakapratiṣṭhāvidhi likhyate ///  śrī caṇḍikāgni yajñavidhi saṃpūrṇaḥ,at beginning /// at end
280,M00190,Phetkāriṇītantra,,"Caṭṭopādhyāya, Rasika Mohana",,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti śrīphetkāriṇītantre devīśvarasaṃvāde ceṭikāsādhanaṃ nāma ekaviṃśatitamaḥ paṭalaḥ samāptaḥ || samāptaścāyaṃ granthaḥ,
281,M00623,Bagalāmukhīpañcāṅgam,,,,,,,,,,,,,['śaiva'],,,,,,itiśrīrudrayāmaletaṃtrebagalāmukhīstavarājaḥ saṃpūrṇa samāptaśca,
282,M00520,Basavapurāṇa,,,,,,,,,,,,,"['śaiva', 'vīraśaiva']",Śrī Bādarāyana Mahaṛṣi,mbP0054,colophon,,,iti śrībādarāyaṇamaharṣipraṇīte śrībasaveśvarapurāṇe svarūpagraṃthe paramarahasye skaṃdāgastyasaṃvāde tricatvāriṃśo'dhyāyaḥ śrībasaveśvarapurāṇaṃ saṃpūrṇaṃ,
283,M00116,Bṛhannīlatantra,,Kaul Madhusudan,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrībṛhannīlatantre sarvatantrottamottame bhairavabhairavīsaṃvāde (annadāmantroddhāraśatanāmatantramāhātmyanirūpaṇaṃ) caturviṃśaḥ paṭalaḥ || samāptaṃ cedaṃ śrībṛhannīlatantram + TILAKA,
,ilxM00045,Bodhapañcadaśikā,,,,,,,,,,,,,,Abhinavagupta,mbP0017,colophon,,,,
285,M00173,Bodhapañcadaśikā Vivaraṇa,,Zadoo Jagaddhar,,,,,,colophon,,ilxM00045,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",Harabhaṭṭa Śāstrī,mbP0129,colophon,,,ime'bhinavaguptena ślokāḥ pañcadaśoditāḥ || iti bodhapañcadaśikā samāptā || sukumāramatayo mandaśaktipātavantaḥ ajasa sukhena spaṣṭamanyat || yāṃ bodhapañcadaśikāṃ matimāndyabhājāṃ sambodhanāya nivabandha guruḥ suramyām | māheśvaro'bhinavagupta itīḍyanāmā tatra vyadhādvyavaraṇaṃ harabhaṭṭaśāstrī || bhūnandanandavede'bde (4990) laukike phālgunevadī | ekādaśyāṃ tithau śāstrī haro vivaraṇaṃ vyadhāt || iti śrīmahāmāheśvarācāryavaryaṃ śrīmadabhinavaguptaviracitāyāṃ bodhapañcadaśikāyāṃ paṃ(0) harabhaṭṭaśāstrikṛtaṃ vivaraṇaṃ samāptam] ||,
,I00017,Bodhāyanaprayoga,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,bodhāyana-āhnikam - pañcākṣaranāthaviracitanityakarmaparicchedaḥ - bodhāyanamantrapraśnaḥ,at beginning
286,M00319,Brahmayāmala,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva']",,,,,,iti brahmayāmale śatasahasrasaṃhitāyāṃ mātrotsavo nāma prathamaḥ paṭalaḥ /// iti brahmayāmale śatasahasrasaṃhitāyāṃ nāgapāśavidhirnāma pañcāśatpaṭalaḥ,almost at beginning /// towards end
,ilxM00046,Brahmavidyopaniṣat,,,,,,,,,,,,,,,,,,,,
287,M00105,Brahmavidyopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Brahmavidya Upaniṣat,ilxM00046,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | brahmavidyopaniṣado vyākhyeyaṃ likhitā laghu | prakṛtopaniṣadvyākhyā saptatyadhiśatadvayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe catvāriṃśatsaṃkhyāpūrakaṃ brahmavidyopaniṣadvivaraṇaṃ saṃpūraṇam,
288,M00262,Brahmasandhāna,,,,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,,,iti śrībrahmasandhānāgni( * )jā( * )cā( * )ni( * )yo( * )mā,at end
,ilxM00047,Bṛhattantrasāra,,,,,,,,,,,,,,Kṛṣṇānanda Āgamavāgiśa,mbP0164,colophon,,,,
289,M00013,Bṛhattantrasāra Vṛtti,,Caṭṭopādhyāya,,,,,,*,Tantrasāra,ilxM00047,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",Aghoraśiva,mbP0028,catalog,,,iti mahāmahopādhyāyaśrīkṛṣṇānandāgamavāgīśaviracite tantrasāre prathamaḥ paricchedaḥ /// granthagauravabhayādanyanyoktam iti devatāyā vāhyāṅgasaṅketaḥ | pariśiṣṭaṃ sampūrṇa ,almost at beginning /// at end
290,I00013,Bhaktavilāsa,,,,,,incomplete,,,,,,,"['śaiva', 'śaiva-siddhānta']",Agastya Ṛṣi,,,,,iti śrīskāndapurāṇe bhaktamāhātmye dvitīyoddhyāyaḥ,almost at beginning 
,ilxM00048,Bhagavadgītā,,,,,,,,,,,,,,,,,,,,
291,M00244,Bhagavadgītā Gītārthasaṃgraha,version 1,Lakṣmaṇa Ṛaina Brahmacārī,M00244=M00167=M00330,,,,,colophon,,ilxM00048,commentary,including the mūla,['tantric / āgamic literature'],Abhinavagupta,mbP0017,colophon,,,iti śrīmahāmaheśvarācāryavaryarājānakābhinavaguptapādaviracite śrīmadbhagavadgītārthasaṃgrahe'ṣṭādaśo'dhyāyaḥ + 4 additional verses /// paripūrṇo'yaṃ śrīmadbhagavadgītārthasaṃgrahaḥ | kṛtistrinayanacaraṇasaroruha cintanalabdhaprasiddherabhinavaguptasyeti śivam,
292,M00167,Bhagavadgītā Sarvatobhadra,version 2,Śāstrī Kṛṣṇa,M00244=M00167=M00330,,,incomplete,lacking explicit + final colophon (14 chapters),colophon,,ilxM00048,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva']",Ramakaṇṭha,mbP0013,colophon,,,iti śrīmadrājānakarāmakaṇṭhaviracite vākyārthānvayamātre sarvatobhadranāmni bhagavadgītāvivaraṇe caturdaśo'dhyāyaḥ,
293,M00330,Bhagavadgītā Vīraśaiva Bhāṣya,version 3,,M00244=M00167=M00330,,,,,colophon,,ilxM00048,commentary,including the mūla,['śaiva'],Siddapparadhya ( In Text: Śrīpatipaṇḍitārādhya?) - See Text N. M00364 (Line N.451 ) And Author Code Mbp0084,mbP0140,catalog,,,iti bhagavadgītāvīraśaivabhāṣye aṣṭādaśo'dhyāyassamāptaḥ,
294,I00011,Bhadrakālipratiṣṭhāvidhi Yāmalatantra,,,,,,uncertain,??? lacking explicit+final colophon ,,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",,,,,,iti yāmalāgame bhadrakālipratiṣṭhāvidhiḥ,almost at end
295,M00277,Bhāvacūḍāmaṇi,version 1,,M00277=M00575,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",Vidyākaṇṭha,mbP0055 ,Catalog,,,yadyapi nānāvidhāni sādhanopāyāni likhitāni tathāpi bhāvena vinā maṃtrā na siddhyantīti bhāvacūḍāmaṇir likhyate,at beginning
296,M00575,Bhāvacūḍāmaṇi,version 2,,M00277=M00575,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Vidyākaṇṭha,mbP0055 ,Catalog,,,iti śrīmahāmaheśvareṇakṛtaṃ bhāvacūḍāmaṇīṃ nāma taṃtraṃ samāptam || saṃpūrṇaṃ samāptam || śubhamastu,
,ilxM00030,Bhāvopahāra,,,,,,,,,,,,,,Cakrapāṇinātha,mbP0116,colophon,,,,
,ilxM00100,Bhāvopahāra Vivaraṇa,,,,,,,,,,ilxM00030,commentary,,,Bhaṭṭa Śri Raṃya Deva,mbP0141,colophon,,,,
,ilxM00098,Bodhapañcadaśikā,,,,,,,,,,,,,,Abhinavagupta,mbP0017,colophon,,,,
,ilxM00099,Anuttaraprakāśapañcāśikā,,,,,,,,,,,,,,Ādhyanātha,mbP0005,colophon,,,,
297,M000152,"Bhāvopahāra Vivaraṇa, Bodhapañcadaśikā, Anuttaraprakāśapañcāśikā",,Śāstrī R M,,,"3 texts together, only the first has a commentary",,,colophon,,"ilxM00030, ilxM00100, ilxM00098, ilxM00099",3 texts together in the same file,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', '', '', 'Photographic facsimile', '[ View in PDF](../TEXTS/KSTS/KSTS014/PDF/PDF.pdf)', '']","Bhaṭṭa Śri Raṃya Deva, Abhinavagupta, Ādyanātha","mbP0141 , mbP0017, mbP0005","colophon, colophon, colophon ",,,1) it śricakrapāṇināthavirācitebhāvopahārasotre vivaraṇam samāptam | kṛtistatrabhavadbhaṭṭajyogdevātmaja-bhaṭṭaśriraṃyadevasya /// 2) samāptā ceyaṃ bodhapañcadaśikā kṛtirmahāmāheśvarācāryavaryaśrīmadabhinavaguptādānām /// 3)  iti śrīmadādyanāthaviracitā anuttaraprakāśapañcāśikā samāptā ,3 texts
298,M00630,Bhuvaneśvarī Pañcāṅgam Rudrayāmale,,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,itiśrīrudrayāmaletantredaśavidyārahasyeśrībhuvaneśvarīstavaḥ samāptamidaṃśrībhuvaneśvarīpaṃcāṅgamiti śubhaṃbhavatu saṃtatakāśutiṣaṣṭyāṃparatāsaptamyāṃbhaume likhitaṃmayāraiānandenasvatmārthaṃśubhaṃ ,
299,M00309,Bhuvaneśvarīmahāstotra,,Gopal Narayan Bahura,,,,fragments,collection of 10 excerpts,colophon,,,,,"['tantric / āgamic literature', 'śākta', 'Paddhati']","Pṛthvīdharācārya and Padmanābha Kavi, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Pṛthvīdharācārya and Anantadeva, Unknown","mbP0056 and mbP0142, mbP0056 and mbP0163","colophon, colophon",,,1) iti śrīpṛthvīdharācāryaviracitaṃ śrībhuvaneśvarīstotraṃ śrīsiddhasārasvatāparaparyāyaṃ jayajayaharikavimallabhaṭṭalikhitaṃ samāptaṃ 2) śrīrudrayāmale daśavidyārahasye śrībhuvaneśvarīpaṭalaṃ sampūrṇam 3) iti śrīrudrayāmale tantre daśavidyārahasye śrībhuvaneśvaryā nityapūjanapaddhatiḥ sampūrṇā 4) iti śrīrudrayāmale tantre pārvatīśvarasaṃvāde trailokyamaṅgalam nāma bhuvaneśvarīkavacaṃ samāptam 5) iti śrīrudrayāmale tantre śrībhuvaneśvaryaṣṭakaṃ sampūrṇam 6) iti mahātantrārṇave īśvarapārvatīsaṃvādebhuvaneśvarībhakārādisahasranāma stotraṃ samāptam 7) iti nīlasarasvatītantre bhuvaneśvarīpaṭale śrīdevīśvarasaṃvāde śrībhuvaneśvarīhṛdayastotraṃ samāptam 8) iti śrīrudrayāmale tantre śrībhuvaneśvarīstotraṃ samāptam 9)iti pṛthvīdharācāryapaddhatiṃ śāradātilakaṃ nānātantramatamālambya śrīdā-īdevasampradāyinā mātṛpurasthitena anantadevena viracitāyāṃ bhuvaneśvarīkramacandrikāyāṃ pūjāvivaraṇaṃ nāma tṛtīyaḥ kalpaḥ 10) iti pṛthvīdharācāryaviracitaṃ laghusaptaśatīstotram,
300,M00130,Bhūtaśuddhitantra,,Chatterjee,,,,,17 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrībhūtaśuddhitantre haragaurīsaṃvāde prathamaḥ paṭalaḥ /// iti śrībhūtaśuddhitantraṃ samāptam,at beginning /// at end
301,M00505,Bhairavastava,,,,,,,,,Śivastuti,,,,['śaiva'],Abhinavagupta,mbP0017,colophon,,,samāptam stavam idam abhinavākhyam padyanavakam,
302,M00202,Makuṭāgama,version 1,,M00202=M00036,vīraśaiva recension,vīraśaiva rescension kriyācaryāpādau,,10 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīmakuṭāgame uttarabhāge caryāpāde āśaucavidhikathanaṃ nāma daśamaḥ paṭalaḥ || samāptaścāyaṃ makuṭāgamaḥ,
303,M00036,Makuṭāgama,version 2,Dyczkowski Mark S. G.,M00202=M00036,,,,12 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']",,,,,,iti makuṭe kriyāpāde ācāryalakṣaṇavidhirnāma dvādaśaḥ paṭalaḥ,
304,M00525,Makuṭottararahasya,,,,,chapter 3 of makuṭottararahasya,incomplete,only ch. 3,,Mantrayogoddhāra,,,,"['tantric / āgamic literature', 'śaiva']",,,,,,iti śrīmakuṭottararahasye mantrayogoddhāre tṛtīya spandaḥ,
,ilxM00049,Maṇḍalabrāhmaṇopaniṣat,,,,,,,,,,,,,,,,,,,,
305,M00110,Maṇḍalabrāhmaṇopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,,,,colophon,Maṇḍalabrāhmaṇa Upaniṣat,ilxM00049,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | maṇḍalabrāhmaṇavyākhyā likhitā brahmagocarā | maṇḍalabrāhmaṇavyākhyāgranthastu triśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe aṣṭacatvāriṃśatsaṃkhyāpūrakaṃ maṇḍalabrāhmaṇopaniṣadvivaraṇaṃ saṃpūrṇam,
306,E0009,Matatrayaikyaprakāśikā,,,,,,,,,,,,,['tantric / āgamic literature'],Aiyaṇācārya,mbP0057,colophon,,,iti śrīmatparamahaṃsaparivrājakācārya sarvatantrasvatantra śrīmadvasudhendratīrtha śrīmaccaraṇakaruṇālayena śrīmanmahānandatīrtha bhagavatpādācāryasiddhānitarasādhāraṇa pravacanādipaṭutara śrīvāṇāturairāmācāryatanaya gopālācāryasununā aiyaṇākhyena viracitāyāṃ trimataikyaprakāśikāyāṃ rāmānujamataikyaprakāśonāma tṛtīyaḥ paricchedaḥ ||  śrīkṛṣṇārpaṇamastu || samāptaścāpaṃ granthaḥ || śrīrastu ,
307,M00515,Madhyapīṭhapūjāvidhi,,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,,,(...) pūjā paddhati,at beginning
308,M00292,Mantrakoṣa,,,,,,,,,,,,,['tantric / āgamic literature'],Āśāditya Tripāṭhi,mbP0058,colophon,,,āśādityamatīśvaraḥ sakṛtavān śrīratnamaṃtrāvalīkoṣaṃ koṣavataḥ sato bhavati kiṃdāridryabhītiḥ kṣitau || iti śrīmadāśādityatripāṭhīsaṃgṛhītemaṃtrakoṣemudrādikathanaṃ +ADDITIONAL VERSES -  AT END - śrīśāke 1565 pauṣavadi 13 vudhānurādhāyāṃ likhitaṃ manoharasuta śrīmadanaṃtarārmaṇā || śubhamastu || vidhaḥ sarvacarācarasyadaṃ ca nelabdhā pratiṣṭātvayā sarvaṃ sādhumayaṃ kṛtaṃ viracitaṃ cāturyahīnaṃ dvayaṃ | āmraṃ sādhusudhārasaṃ niramitaṃ sthūlena vījena kiṃ nirvīryauvanitā kucauviracitau ced vettayasyāṣutaṃ ,
309,M00229,Mantrakaumudī,,,,,,,,,,,,,['tantric / āgamic literature'],Devanātha Ṭhākura,mbP0059,catalog,Mahāmahopādhyāya Śrīdevanatha,colophon,iti śrītarkapañcānanamahāmahopādhyāyaśrīdevanathakṛtā mantrakaumudī samāptā,
310,M00635,Mantracandrikā,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",Gosvāmi Janārdanaḥ,mbP0060,colophon,Śrī Gosvāmi Jagannivāsa Ātmaja Śrī Gosvāmi Janārdana Bhaṭṭa,colophon,itiśrīgosvāmijagannivāsātmajaśrīgosvāmijanārdanabhaṭṭaviracitāyāṃmaṃtracaṃdrikāyāmekādaśaḥprakāśaḥ itiśivaprakaraṇaṃ samāptaṃ,towards end
311,M04003,Mahāguhyakālīvidhāna,version 1,,M04003=M00516,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,,,iti yoginīhṛdaye guhyekālīrahasya devasya deharakṣakakavacannāma stotraṃ samāptaṃ,towards beginning
312,M00516,Mahāguhyakālīvidhāna,version 2,,M04003=M00516,(almost) same as M04003,,incomplete,(almost) same as M04003,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,,,no,
314,M00033,Mahānayaprakāśa,,Dyczkowski Mark S. G.,,,not the same text as M00034,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",Śitikaṇṭha,mbP0061,colophon,Śrī Mahāmāheśvarācārya Varya Śrī Śitikaṇṭha Ācārya,colophon,iti śrīmahāmāheśvarācāryavarya-śrīśitikaṇṭhācāryaviracite mahānayaprakāśe caturdaśa udayaḥ || samāptaścāyaṃ mahānayaprakāśaḥ + TILAKA,
315,M00034,Mahānayaprakāśa,,Śāstrī K. S.,,,not the same text as M00033,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",,,,,,iti śrīmahānayaprakāśe sarvavailakṣaṇyapratipādano nāma prathamollāsaḥ,towards beginning
,ilxM00050,Mahānirvānatantra,,,,,,,,,,,,,,,,,,,,
316,M00049,Mahānirvānatantra Ṭīkā,,Arthur Avalon,,,,,only first half,colophon,,ilxM00050,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",Hariharānanda Bharati,mbP0143,catalog,John Woodroffe,,iti śrīmahānirvāṇatantre sarvatantrottamottame sarvadharmanirṇayasāre śrīmadādyāsadāśivasaṃvāde pūrvakāṇḍe śivaliṅgasthāpanacaturvidhāvadhūtavivaraṇakathanaṃ nāma caturdaśollāsaḥ | samāpto'yaṃ pūrvārdhaḥ | tejaḥsu tejasviṣu || iti śrīmahānirvāṇatantraṭīkāyāṃ caturdaśollāsaḥ,
317,M00552,Mahāpratyaṅgīrā,,,,,,uncertain,yes?,,,,,,[''],,,,,,ityāryyamahāpratyaṃgirāyāṃ śakraparivarttanonāma /// yādṛṣṭaṃ puṣṭakaṃ dṛṣṭvāḥ tādṛṣṭaṃ likhitaṃ mayā || yadī suddhamasuddhambāḥ mama dokho na dīyate || hraśva dīrgha na jānāniḥ śvodhanīyamatujanai || saṃpūrṇasiddhidvayaḥ putrapautrahitāya || śrīśrīśrīmahāvairocanasatgurūmāhāmañjuśrīprītirastu śubhaṃ bhūyāt || śubhaṃ ,in middle /// at end
318,M00524,Mahābhairavapūjā,,,,,,incomplete,lacking explicit + final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",,,,,,no,
319,M00205,Mahāyāgakrama,,,,,,,,,,,,,['tantric / āgamic literature'],Bhāskararāya,mbP0062,colophon,,,śrītantrarāje pañcatriṃśapaṭale bhāvanopaniṣatpratipādita mahāyāgakramasyopabrahmaṇaślokāḥ /// iti kaulamārgapārāvārapārīṇa śrīmadbhāskararāyaviracitaṃ kaulopaniṣadbhāṣyaṃ saṃpūrṇam,in middle /// at end
320,M00035,Mahārthamañjarī,,Śāstrī Gaṇapati,,,with the parimala commentary,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",Maheśvarānanda,mbP0063,colophon,,,iti śrīmahāprakāśaśiṣyasya gorakṣāparaparyāyasya śrīmanmaheśvarānandasya kṛtirmahārthamañjarīparimalaḥ sampūrṇaḥ + ADDITIONAL VERSES,
321,M04004,Mahālakṣmīdīpadānavidhiḥ,,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,iti śrīśrī śrīmahālakṣmīsake mahādīpacchota kāyā vidhiḥ samāptaḥ,
322,M00407,Mahālakṣmīpūjāvidhiḥ,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,no,
,ilxM00051,Mahāvākyopaniṣat,,,,,,,,,,,,,,,,,,,,
323,M00109,Mahāvākyopaniṣat Vivaraṇa,,Śāstrī Mahādeva,,,encoding of all diacritics is flawed ,,yes ,colophon,Mahāvākya Upaniṣat,ilxM00051,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",Brahmayogin,mbP0128,colophon,,,iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe dvinavatisaṃkhyāpūrakaṃ mahāvākyopaniṣadvivaraṇaṃ saṃpūrṇam,
324,I00004,Mahotsavavidhi Kriyākramadyotikā,,,,,,,yes (with lacunae),,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",Aghoraśiva,mbP0028,colophon,Śrīmad Aghoraśiva Ācārya,colophon,Here a few of their colophons: iti śrīparameśvaraparamanāmadheyaśrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ nai(jā)yakotsavādibhaktotsavāntavidhiḥ samāptaḥ /// iti parameśvaraparamanāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ bṛhattālādiṛkṣotsavāntavidhiḥ samāptaḥ/// iti śrīparameśvaraparamanāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ prāyaścittavidhiḥ samāptaḥ,many sections listed at incipit
325,M00131,Mahotsavavidhikrama,,Richard Davis,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",Aghoraśiva,mbP0028,colophon,Śrīmad Aghoraśiva Ācārya,colophon,iti parameśvara nāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ brahmattālādiṛkṣotsavāntavidhiḥ (k: bṛhattā- -vidhis) samāptaḥ,
,ilxM00052,Mātṛkācakra,,,,,,,,,,,,,,,,,,,,
