file,title,title_buddhanexus,title_notes,author,author_buddhanexus,author_pid,tōh,cbeta,Remarks Chinese translation,reconstructed (y/n),url,legacy_url,url_buddhanexus,archive.org,dsbc (yn),category,best_text,duplicate_of_standard
sa_vasugupta-spandakArikA.xml,Spandakārikā,Spandakārikā,,Vasugupta,Vasugupta,P0AT0213,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vasugupta-spandakArikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/spandkau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/spandkau.htm,,,6_sastra/3_phil/saiva,,
sa_kSemarAja-bhairavAnukaraNastotra.xml,Bhairavānukaraṇastotra,Bhairavānukaraṇastotra,,Kṣemarāja,Kṣemarāja,P0AT0212,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kSemarAja-bhairavAnukaraNastotra.htm,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kSemarAja-bhairavAnukaraNastotra.htm,,,,,
sa_avadhUtasiddha-bhagavadbhaktistotra.xml,Bhagavadbhaktistotra,Bhagavadbhaktistotra,,Avadhūtasiddha,Avadhūtasiddha,P0AT0265,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_avadhUtasiddha-bhagavadbhaktistotra.htm,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_avadhUtasiddha-bhagavadbhaktistotra.htm,,,,,
sa_kSemarAja-pratyabhijJAhRdaya.xml,Pratyabhijñāhṛdaya,Pratyabhijñāhṛdaya,,Kṣemarāja,Kṣemarāja,P0AT0212,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kSemarAja-pratyabhijJAhRdaya.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/pratyabu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/pratyabu.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-paryantapaJcAzikA.xml,Paryantapañcāśikā,Paryantapañcāśikā,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-paryantapaJcAzikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/parypanu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/parypanu.htm,,,6_sastra/3_phil/saiva,,
sa_parAtriMzikA-comm.xml,Parātriṃśikā with Abhinavagupta's Parātriṃśikāvivaraṇa (lacks the Apabhramsa passages),Parātriṃśikāvivaraṇa,,,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_parAtriMzikA-comm.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/partrvau.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/partrvpu.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-paramArthasAra.xml,Paramārthasāra,Paramārthasāra,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-paramArthasAra.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/parmartu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/parmartu.htm,https://archive.org/search.php?query=Paramarthasara,,6_sastra/3_phil/saiva,,
sa_kSemarAja-bodhavilAsa.xml,Bodhavilāsa,Bodhavilāsa,,Kṣemarāja,Kṣemarāja,P0AT0212,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_kSemarAja-bodhavilAsa.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/ksembodhv_u.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/ksembodhv_u.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-kramastotra.xml,Kramastotra,Kramastotra,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-kramastotra.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/kramstou.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/kramstou.htm,,,6_sastra/3_phil/saiva,,
sa_abhinavagupta-bodhapaJcadazikA.xml,Bodhapañcadaśikā,Bodhapañcadaśikā,,Abhinavagupta,Abhinavagupta,P0AT0157,,,,,http://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_abhinavagupta-bodhapaJcadazikA.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bodhpanu.htm,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/bodhpanu.htm,,,6_sastra/3_phil/saiva,,
