original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00050 - nIlakaNTha - kriyAsAra volume 2.htm,nIlakaNTha_kriyAsAra_volume_2_M00050.xml,M00050,Kriyāsāra Volume 2,,Nīlakaṇṭha,mbP0019,https://muktabodha-digital-library.org/texts/IAST/M00050,Venkathanāthācārya N S,,,,,,,,,,,['tantric / āgamic literature'],colophon,Nilakaṇṭha Śivācārya,colophon,iti śrīmadviśiṣṭādvaitasiddhāntarahasyaikottaraśatasthalābhijña śrīnīlakaṇṭhaśivācāryakṛte kriyāsāre śivapūjāprakaraṇaṃ nāma caturdaśopadeśaḥ samāptaḥ,
M00512 - kriyoDDIzamahAtantrarAja.htm,kriyoDDIzamahAtantrarAja_M00512.xml,M00512,Kriyoḍḍīśamahātantrarāja,,Indrajit,mbP0064,https://muktabodha-digital-library.org/texts/IAST/M00512,,,,,,,,,,,,['tantra / āgama'],colophon,,,śrīmadindrajitpraṇītaḥ /// iti kriyoḍḍīśe mahātantrarāje śivagaurīsaṃvāde ekaviṃśatitamaḥ paṭalaḥ || samāpto'yaṃ granthaḥ,at beginning /// at end
M00126 - aghorAziva - krIyakramAdyotikA.htm,aghorAziva_krIyakramAdyotikA_M00126.xml,M00126,Kriyakramādyotikā Vyākhyā,,Nirmalamaṇiguru,mbP0133,https://muktabodha-digital-library.org/texts/IAST/M00126,,,,,,,colophon,,ilxM00017,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,iti śrīmatkamalālayanivāsi bhaktādhyakṣasantānaprabhavatyāgarājācāryātmajanirmalamaṇiguru viracitāyāmasphuṭārtha prakāśikāyāṃ prabhāsamākhyāyāṃ kriyākramadyotikā vyākhyāyāṃ damanavidhissamāptaḥ,
M00108 - kSurikopaniSat.htm,kSurikopaniSat_M00108.xml,M00108,Kṣurikopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00108,Śāstrī Mahādeva,,,,,,colophon,Kṣurika Upaniṣat,ilxM00018,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ kṣurikāyāḥ sphuṭaṃ laghu | kṣurikopaniṣadvyākhyā viṃśatyadhiśataṃ smṛtā || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekatriṃśatsaṃkhyāpūrakaṃ kṣurikopaniṣadvivaraṇaṃ saṃpūraṇam,
M00508 - bhAsarvajJa - gaNakArikA.htm,bhAsarvajJa_gaNakArikA_M00508.xml,M00508,Gaṇakārikā Ratnaṭīkā,,Bhāsarvajña,mbP0029,https://muktabodha-digital-library.org/texts/IAST/M00508,C. D. Dalal,,,,fragments,mixed excerpts,colophon,,ilxM00023,commentary,,['paśupata'],colophon,,,samāptāḥ gaṇakārikāh | gaṇakārikāyā ratnaṭīkā ///  ācāryabhāsarvajñaviracitāyāṃ gaṇakārikāyāṃ ratnaṭīkā parisamāptā /// appendix: 1) viśuddhamunikṛtaṃ yamaprakaraṇam /// 2) kāraṇapadārthaḥ /// 3) rudranāmāni /// 4) from ṣaḍdarśanasamuccya of ācārya haribhadra /// 5) from sarvadarśanasaṅgraha /// 6) from ṣaḍdarśanasamuccaya of rājaśekharasūri ///  end - iti śrīśivapurāṇe pārvatīmaheśvarasaṃvāde tīrtha(***?)ṇikāyāṃ śūlapāṇijanmapaṭṭabandhādimāhātmyaṃ samāptam | samāptaṃ kāravaṇamāhātmyam (7),beginning/// middle /// excerpts in appendix /// end
M00646 - gandharvatantra.htm,gandharvatantra_M00646.xml,M00646,Gandharvatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00646,,,,,,42 chapters,,,,,,['tantra / āgama'],,,,iti śrīgandharvatantre pārvatīśvarasaṃvāde tattvajñānopadeśanaṃ nāma dvācatvāriṃśaḥ paṭalaḥ || samāptamida śrīśivārpaṇaṃ bhūyāt,
M00216 - govindakaula - gurustutiratnAvalI.htm,govindakaula_gurustutiratnAvalI_M00216.xml,M00216,Gurustutiratnāvalī,,Govinda Kaula,mbP0030,https://muktabodha-digital-library.org/texts/IAST/M00216,,,,,,,,,,,,"['compendium', 'tantric / āgamic literature']",colophon,,,iti śrīmahāmāheśvarācāryaśrīmacchrījyotiṣprakāsakaulānandapādapadmānujīviśrīgovindakaulaviracitā śrīgurustutiratnāvalī samāptā cetivam || saṃvat || vaivatidaśasyāṃ citritājñe yaiṣā jñeyavidbhiḥ || PLUS ADDITIONAL TEXT AFTER,
M00360 - guhyasamAjatantra.htm,guhyasamAjatantra_M00360.xml,M00360,Guhyasamājatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00360,Benoytosh Bhattacharya,,,,,only first half,,Tathāgataguhyaka,,,,['tantra / āgama'],,,,iti śrīsarvatathāgatakāyavākcittarahasyātirahasye guhyasamāje mahāguhyatantrarāje sarvaguhyanirdeśavajrajñānādhiṣṭhānaṃ nāma paṭalo'ṣṭādaśaḥ || samāpto'yaṃ śrīguhyasamājasya tantrarājasya pūrvārddhakāyaḥ,
M00291 - gorakSanAtha - gorakSaguTikA.htm,gorakSanAtha_gorakSaguTikA_M00291.xml,M00291,Gorakṣaguṭikā,,Gorakṣanātha,mbP0031,https://muktabodha-digital-library.org/texts/IAST/M00291,,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'yoga']",colophon,,,iti śrīkalpadrumavivekinyāṃ yogābhyāse haragaurīsambāde gorakṣaguṭikāyāṃ śrīgorakṣanāthasahasranāmastotraṃ nāmanavamastaraṅgaḥ,
M00289 - gorakSanAtha - gorakSamudgara.htm,gorakSanAtha_gorakSamudgara_M00289.xml,M00289,Gorakṣamudgara,,Gorakṣanātha,mbP0031,https://muktabodha-digital-library.org/texts/IAST/M00289,,y,,,,colophon doesn't match description,,,,,,['tantric / āgamic literature'],colophon,,,mūlasāreti iti gorakṣajogaśāstrasamāptaṃ,
M00288 - gorakSanAtha attributed to - gorakSayogazAstram.htm,gorakSanAtha_attributed_to_gorakSayogazAstram_M00288.xml,M00288,Gorakṣayogaśāstram,,Gorakṣanātha,mbP0031,https://muktabodha-digital-library.org/texts/IAST/M00288,,n,muktabodha/gorakSanAtha_gorakSamudgara_M00289.xml,,,,,Mūlasāra,,,,"['tantric / āgamic literature', 'yoga']",colophon,,,mūlasāreti iti gorakṣajogaśāstrasamāptaṃ,
M00522 - gorakSanAtha attributed to - gorakSazataka.htm,gorakSanAtha_attributed_to_gorakSazataka_M00522.xml,M00522,Gorakṣaśataka,,Gorakṣanātha,mbP0031,https://muktabodha-digital-library.org/texts/IAST/M00522,,,,,,,,,,,,['yoga'],colophon,,,iti gorakṣaśatakaṃ sampūrṇam,
M00647 - gautamatantra.htm,gautamatantra_M00647.xml,M00647,Gautamatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00647,,,,,,32 chapters,,,,,,['tantra / āgama'],,,,iti śrīgautamīye mahātaṃtre sarvataṃtrottame dvātriṃśo'dhyāyaḥ || samāptaḥ śubham,
M00509 - mantramahAdeva - gaurIkAJcalikAtantra.htm,mantramahAdeva_gaurIkAJcalikAtantra_M00509.xml,M00509,Gaurīkāñcalikātantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00509,,,,,,,,,,,,['tantra / āgama'],,,,iti śrīharagaurīsaṃvāde gaurīkāñcalikātantraṃ samāptam |,
M00601 - caturvedArthatAtparyasaMgraha.htm,caturvedArthatAtparyasaMgraha_M00601.xml,M00601,Caturvedārthatātparyasaṃgraha,,,,https://muktabodha-digital-library.org/texts/IAST/M00601,,,,,,,,,,,,['vīraśaiva'],,,,iti caturvedārthatātparyasaṃgrahaḥ samāptaḥ || śrīmaddevaśikhāmaṇigurubhyo namaḥ | śrīmatṣaṇmukhagurave namaḥ | śubhamastu,
I00008 - candrajJAna nityArchanavidhiH mantravAsam.htm,candrajJAna_nityArchanavidhiH_mantravAsam_I00008.xml,I00008,Candrajñāna Nityārchanavidhiḥ Mantravāsam,,,,https://muktabodha-digital-library.org/texts/IAST/I00008,,,,,incomplete,,,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",,,,iti candratajñāne /// atha nityārcanaṃ vakṣye /// mantravāsamidaṃ proktaṃ mantravāhanamucyate,
M00263 - candrajJAnAgama.htm,candrajJAnAgama_M00263.xml,M00263,Candrajñānāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00263,,y,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,atha candrajñānaṃ likhyate,at beginning
M00273 - candrajJAnAgama.htm,candrajJAnAgama_M00273.xml,M00273,Candrajñānāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00273,,n,muktabodha/candrajJAnAgama_M00263.xml,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti candrajñāne jñānadarśanapaṭalaḥ samāptam,
M00201 - candrajJAnAgama vIrazaiva rescension.htm,candrajJAnAgama_vIrazaiva_rescension_M00201.xml,M00201,Candrajñānāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00201,,,,,incomplete,misses whole pūrvabhāga,,,,,,['śaiva'],,,,iti śrīcandrajñānāgame uttarabhāge'nantarudrabṛhaspatisaṃvāde śivaśāsane caryāpāde prāyaścittavidhikathanaṃ nāmāṣṭamaḥ paṭalaḥ || followed by - mūlapañcākṣaramantranyāsāḥ,almost at end
M00506 - candrAvalocakana.htm,candrAvalocakana_M00506.xml,M00506,Candrāvalokana,,,,https://muktabodha-digital-library.org/texts/IAST/M00506,,,,,,,,,,,,['yoga'],,,,iti maheśvareṇaviracitaṃ candrāvalokanam sampūrṇaṃ || śrīgurunāthāya namaḥ,
M00307 - carcAstava.htm,carcAstava_M00307.xml,M00307,Carcāstava Ṭīkā,,Harabhaṭṭa Śāstrī,mbP0129,https://muktabodha-digital-library.org/texts/IAST/M00307,,,,,,contains only 2nd stava,colophon,,ilxM00024,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",colophon,,,iti śrīdharmācāryakṛtau pañcastavyāṃ carcāstavo dvitīyaḥ /// iti śrīmahāmāheśvarapaṇḍitaharabhaṭṭaśāstriviracitāyāṃ pañcastavīṭīkāyāṃ dvitīyaḥstavaḥ || vallī kāpi puratrayeṣu vilasatyekākinī visphurannānāvarṇadaśā palāśakhacitā śākhāpratānāgraṇīḥ | yasmin naikaphalorubhāravinatasvaṅgā turīyā stave tasmin prāthamiketare vivaraṇaṃ pūrṇaṃ parānugrahāt ||,towards end /// at end
M00014 - zrIvatsa - cidgaganacandrikA.htm,zrIvatsa_cidgaganacandrikA_M00014.xml,M00014,Cidgaganacandrikā,,Kālīdāsa,mbP0032,https://muktabodha-digital-library.org/texts/IAST/M00014,Arthur Avalon / John Woodroffe / Trivikramatīrtha,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'kālīkula / krama']",colophon,Śrīvatsa,colophon,pūrṇapīṭhakṛtaṃ siddhestadbhāvastavamādarāt | vā narārthaṃ mahāguhya śrīvatso vidadhe sa tu /// iti śrīkālīdāsamahākaviviracitā cidgaganacandrikā sampūrṇā PLUS ADDITIONAL TEXT,
E00002 - prakAzAnanda - cinmantramAlinI.htm,prakAzAnanda_cinmantramAlinI_E00002.xml,E00002,Cinmantramālinī,,Prakāśānanda,mbP0033,https://muktabodha-digital-library.org/texts/IAST/E00002,,,,,,only nityopāsanākrama chapter,,Nityopāsanākrama,,,,['tantric / āgamic literature'],colophon,,,iti śrī prakāśānanda viracitāyāṃ cinmantramālinyāṃ nityopāsanākramaḥ samāptaḥ | saṃvat 1719,
