original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
E00004 - cinmayadIkSAvidhAna.htm,cinmayadIkSAvidhAna_E00004.xml,E00004,Cinmayadīkṣāvidhāna,,,,https://muktabodha-digital-library.org/texts/IAST/E00004,,,,,unclear,"yes?, but no colophon",,,,,,"['tantric / āgamic literature', 'śaiva', 'yoga']",,,,ṣaḍadhvaśodhanapūrvikacinmayadīkṣāṃ kariṣya iti saṃkalpya,in middle
M00155 - vAmadeva - janmamaRanavicAra.htm,vAmadeva_janmamaRanavicAra_M00155.xml,M00155,Janmamaṛanavicāra,,Vāmadeva,mbP0034,https://muktabodha-digital-library.org/texts/IAST/M00155,Śāstrī M R,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,Tatrabhavat Mahāmāheśvara Ācārya Varya Śrīmad Bhaṭṭa Vāmadeva,colophon,samāpto'yaṃ janmamaraṇavicārākhyo granthaḥ || kṛtistatrabhavanmahāmāheśvarācāryavaryaśrīmadbhaṭṭavāmadevasya || +TILAKA,
M00123 - jayAkhyasaMhitA.htm,jayAkhyasaMhitA_M00123.xml,M00123,Jayākhyasaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00123,Kṛṣṇamācārya Embar,,,,,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava', 'pāñcarātra']",,,,iti śrīpāñcarātre jayākhyasaṃhitāyāṃ yogākhyānaṃ nāma trayastriṃśaḥ paṭalaḥ || samāpteyaṃ jayākhyasaṃhitā,
M00024 - matsyendranAtha - jJAnakArikA.htm,matsyendranAtha_jJAnakArikA_M00024.xml,M00024,Jñānakārikā,,Matsyendranātha,mbP0001,https://muktabodha-digital-library.org/texts/IAST/M00024,"Bagchi, P. C.",,,,,3 chapters,,,,,,"['tantric / āgamic literature', 'kaula', 'kaula early pre 1100 AD']",catalog,Machindranātha,colophon,iti jñānakārimahāmachindranāthapādāvatāritenoktaṃ caryādhikārastu tṛtīyaḥ paṭalaḥ,
E00005 - jJAnadIkSA.htm,jJAnadIkSA_E00005.xml,E00005,Jñānadīkṣā,,,,https://muktabodha-digital-library.org/texts/IAST/E00005,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,śivaṃ praṇamya paramaṃ nidhaneśamataḥ param | jñānadīkṣāṃ pravakṣyā (***) śṛṇudhvaṃ samāhitāḥ |,at beginning
M00222 - jJAnaziva - jJAnaratnAvalI.htm,jJAnaziva_jJAnaratnAvalI_M00222.xml,M00222,Jñānaratnāvalī,,Jñānaśiva,mbP0035,https://muktabodha-digital-library.org/texts/IAST/M00222,,,,,incomplete,lacking incipit,,,,,,"['śaiva', 'śaiva-siddhānta']",colophon,,,tacchiṣya pravareṇa bodhaparamānandaikadhāmnāparaṃ siddhāntāmṛtapūrapūrṇa manasā vāraṇasīvāsinā | 'srīmajjñānaśivena śambhucaraṇāmbhoja dvayāha (***)valī || śrīmajjñānaratnāvalī samāptā ||,
M00191 - jJAnasaGkalinItantra.htm,jJAnasaGkalinItantra_M00191.xml,M00191,Jñānasaṅkalinītantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00191,"Caṭṭopādhyāya, Rasika Mohana",,,,incomplete,lacking explicit,,,,,,['tantric / āgamic literature'],,,,iti jñānasaṅkalinītantraṃ samāptam,
M00265 - jJAnasAra.htm,jJAnasAra_M00265.xml,M00265,Jñānasāra,,,,https://muktabodha-digital-library.org/texts/IAST/M00265,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,nāthajñānasāro likhyate,at beginning
E00006 - jJAnasiddhyAgama.htm,jJAnasiddhyAgama_E00006.xml,E00006,Jñānasiddhyāgama,,,,https://muktabodha-digital-library.org/texts/IAST/E00006,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,jñāna siddhyāgame prathamastantrāvatārasaṃhitādhikāraḥ samāptaḥ,in middle
M00069 - jJAnArNavatantra.htm,jJAnArNavatantra_M00069.xml,M00069,Jñānārṇavatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00069,"Malaviya, Sudhakar",,,,,26 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrīmajjñānārṇave nityātantre devīśvarasaṃvāde śrīvidyādamanāropaṇavidhirnāma ṣaḍviṃśaḥ paṭalaḥ,
M00642 - DAkinIkalpa.htm,DAkinIkalpa_M00642.xml,M00642,Ḍākinīkalpa,,,,https://muktabodha-digital-library.org/texts/IAST/M00642,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,ititithiḍākinīkalpasamāptam,in middle
I00019 - SeSazAstrI - NatvabAdhAvidhUnanam with commentary tattvamAlAvyAkhyA.htm,SeSazAstrI_NatvabAdhAvidhUnanam_with_commentary_tattvamAlAvyAkhyA_I00019.xml,I00019,Ṇatvabādhāvidhūnanam Tattvamālāvyākhyā,,Seṣaśāstrī,mbP0036,https://muktabodha-digital-library.org/texts/IAST/I00019,,,,,incomplete,,colophon,,ilxM00025,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",incipit,,,rāmasvāmimakhīndrapādayugalīpāthojau jṛmbhāyitasvāntaḥ śeṣasudhimaṇirviracite vidvanmude śaṅkare | siddhe sarvapurāṇaśāstranikarairnārāyaṇākhyapade vā dhāraṇatvakṛtāṃ vyapāhya ni(...) śrītatvamālāmaham | rāmasvāmimakhīndradeśikamukhkhāmbhojasravadyāgamayīṃ śeṣādrirvibudhāṅghrisannataśirāttu svādyamādhvindharīm | dūrvādiprakarebhakumbhadalane kakṣyānakhaiḥ kesarī śrī nārāyaṇanāmni(...)ne ṇatvaṃ carīkarti ca | śrī veṅkaṭeśaviduṣaḥ sūnunā śeṣaśāstriṇā | kriyate vacasāṃ śuddhyai svīyānāṃ viduṣāṃ mude || śrīmantaṃ candracūḍaṃ giripatitanayā prāṇanāthaṃ dayābdhiṃ natvā vāgīśvarīṃ ca praṇata janalasadvāgvi*lāsaprādātrīm|*  svīyyāṃ(yāṃ) buddhiṃ ku(kū)jantu stutimalinatamāṃ kṣālaye tatvamālāvyākhyānāmbhobhiretāṃ sapadi viracayan ṇatvahādhāvidhūtim|| racayāmi ṇatvabādhā vidhūnanākhyāṃ kṛtaśivau mukhyām | nārāyaṇa*padabhūṣaṇabhāvalasattatvamālikāvyākhyām,at beginning
M00085 - pUrNAnanda - zrItattvacintAmaNi chapters 01 thru 05.htm,pUrNAnanda_zrItattvacintAmaNi_chapters_01_thru_05_M00085.xml,M00085,Tattvacintāmaṇi Prakāśa Chapters 1-5,,Bhuvanmohan Saṃkhyatirtha,mbP0134,https://muktabodha-digital-library.org/texts/IAST/M00085,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau pañcamaḥ prakāśaḥ,
M00086 - pUrNAnanda - zrItattvacintAmaNi chapters 06 thru 10.htm,pUrNAnanda_zrItattvacintAmaNi_chapters_06_thru_10_M00086.xml,M00086,Tattvacintāmaṇi Prakāśa Chapters 6-10,,Bhuvanmohan Saṃkhyatirtha,mbP0134,https://muktabodha-digital-library.org/texts/IAST/M00086,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau daśamaḥ prakāśaḥ,
M00087 - pUrNAnanda - zrItattvacintAmaNi chapters 11 thru 15.htm,pUrNAnanda_zrItattvacintAmaNi_chapters_11_thru_15_M00087.xml,M00087,Tattvacintāmaṇi Prakāśa Chapters 11-15,,Bhuvanmohan Saṃkhyatirtha,mbP0134,https://muktabodha-digital-library.org/texts/IAST/M00087,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrītattvacintāmaṇau pañcadaśaḥ prakāśaḥ,
M00088 - pUrNAnanda - zrItattvacintAmaNi chapters 16 thru end.htm,pUrNAnanda_zrItattvacintAmaNi_chapters_16_thru_end_M00088.xml,M00088,Tattvacintāmaṇi Prakāśa Chapters 16-End,,Bhuvanmohan Saṃkhyatirtha,mbP0134,https://muktabodha-digital-library.org/texts/IAST/M00088,,,,,,,,,ilxM00026,commentary,including the mūla,"['compendium', 'tantric / āgamic literature']",catalog,,,iti śrīpūrṇānandaparamahaṃsaviracite śrī-tattvacintāmaṇau ṣaḍviṃśatitamaḥ prakāśaḥ || śrītattvacintāmaṇiḥ samāptaḥ,
M00290 - vimalaziva - tattvaratnAvalI.htm,vimalaziva_tattvaratnAvalI_M00290.xml,M00290,Tattvaratnāvalī,,Vimalaśiva,mbP0037,https://muktabodha-digital-library.org/texts/IAST/M00290,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",colophon (in middle),,,iti śrīvimalācāryanirmite tyaṃtanirmale(?) tatvaratnāvalīgraṃthe nityakarmavinirṇayaḥ,in middle
M00655 - tatvazodhanam.htm,tatvazodhanam_M00655.xml,M00655,Tattvaśodhanam,,,,https://muktabodha-digital-library.org/texts/IAST/M00655,,,,,,topic is concluded but MS is incomplete,,,,,,['tantric / āgamic literature'],,,,ititatvaśodhanamsampūrṇammabde 1727 varṣautaubhādrekṛṣṇa 13 trayodaśyāṃ gurausvārthaparārthaṃca vāstavyamallāragaḍe,almost at end
M00314 - navamIsiMha - tantracintAmaNi.htm,navamIsiMha_tantracintAmaNi_M00314.xml,M00314,Tantracintāmaṇi,,Ādyānanda,mbP0038,https://muktabodha-digital-library.org/texts/IAST/M00314,,,,,incomplete,30 out of 40 chapters,,,,,,"['compendium', 'tantric / āgamic literature']",catalog,Navamīsiṃha,catalog,iti śrītaṃtraciṃtāmaṇau mālābhedādipratiṣṭāṃtanirṇayo nāma triṃśattamaḥ prakāśaḥ,at end
M00122 - tantrarAjatantra.htm,tantrarAjatantra_M00122.xml,M00122,Tantrarājatantra Manorama,,Subhagānandanātha,mbP0135,https://muktabodha-digital-library.org/texts/IAST/M00122,John Woodroffe,,,,,,colophon,Tantrarājatantra,ilxM00027,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",colophon,,,iti ṣoḍaśanityātantreṣu śrīkādimatākhyasya paripūrṇasya tantrasya prapañcasārasiṃharājaprakāśābhidhānena subhagānandanāthena viracitāyāṃ manoramākhyāyāṃ vyākhyāyāṃ devatādeśikaśiṣyaprapañcādīnāṃ paramārthasvarūpaprakāśanaparaṃ ṣaṭtriṃśatpaṭalaṃ paripūrṇaṃ parāmṛṣṭam + additional text/tilaka /// samāptā ceyaṃ tantrarājaṭīkā manoramā || oṃ,
M00153 - abhinavagupta - tantrasAra.htm,abhinavagupta_tantrasAra_M00153.xml,M00153,Tantrasāra,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00153,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,,,iti śrīmadabhinavaguptācāryaviracite tantrasāre kulayāgaprakāśanaṃ nāma dvāviṃśamāhnikam || itthaṃ ṣaḍardhakramasaṃpradāyaṃ sapratyayāpratyayabhinnamāpya | śrīśaṃbhunāthātkaruṇārasena svayaṃ prasannādanapekṣavṛttyā || kāśmīriko'bhinavaguptapadābhidhānaḥ śrītantrasāramakarodṛjunā krameṇa | yattena sarvajana eṣa śivaṃ prayātu lokottaraprasaraśāṃbhavatantrasāram || kṛtistatrabhavacchrīmanmahāmāheśvarācāryavaryaśrīmadabhinava(…) + TILAKA // śrīsvātmasaṃvidabhinnarūpaśivārpaṇaṃ bhūyat | samāptaṃ cedaṃ tantrasārākhyaṃ śāstram |,
M00366 - tantrAbhidhAna.htm,tantrAbhidhAna_M00366.xml,M00366,Tantrābhidhāna,,,,https://muktabodha-digital-library.org/texts/IAST/M00366,Pañcānana Bhaṭṭacārya Tarkasāṃkhyavedāntatīrtha,,,,fragments,collection of excerpts,,,,,,['tantric / āgamic literature'],,,,sections - iti śrīpuruṣottamadevaviracita ekākṣarakoṣaḥ samāptaḥ  ///  iti śrībhairavaviracito bījanighaṇṭumantrakoṣaḥ samāptaḥ ///  iti śrīmanmahīdāsaviracita-mātṛkānighaṇṭuḥ samāptaḥ /// iti śrīdeśikamaṇḍalīmukuṭamāṇikyopama-paramahaṃsa-śrīmadhvācāryaviracito mātṛkānighaṇṭuḥ samāptaḥ /// iti mātṛkā-nirghaṇṭaḥ samāptaḥ /// iti rudrayāmalatantrokta-varṇanighaṇṭu samāptaḥ /// iti bhūtaḍāmaratantroktabījābhidhānaṃ samāptam /// iti varadātantrokta-mantrārthābhidhānaṃ samāptam /// iti śrīvāmakeśvaratantre umāmaheśvarasaṃvāde mudrānighaṇṭuḥ samāptaḥ | samāpto'yaṃ granthaḥ /// end - varṇabījakoṣaḥ samāptaḥ,sections /// at end
M00092 - abhinavagupta - tantrAloka chapters 1 thru 14.htm,abhinavagupta_tantrAloka_chapters_1_thru_14_M00092.xml,M00092,Tantrāloka Viveka Chapters 1-14,,Jayaratha,mbP0136,https://muktabodha-digital-library.org/texts/IAST/M00092,,,,,,,colophon,,ilxM00028,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kaula', 'trika']",colophon,,,iti śrāmadācāryābhinavaguptapādaviracite śrījayarathācāryakṛtavivekākhyavyākhyopete śrītantrāloke dīkṣopakramaprakāśanaṃ nāma caturdaśamāhnikam ||,
M00093 - abhinavagupta - tantrAloka chapters 15 thru 38.htm,abhinavagupta_tantrAloka_chapters_15_thru_38_M00093.xml,M00093,Tantrāloka Viveka Chapters 15-38,,Jayaratha,mbP0136,https://muktabodha-digital-library.org/texts/IAST/M00093,,,,,,,colophon,,ilxM00028,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kaula', 'trika']",colophon,,,iti śrīmanmahāmāheśvarācāryavaryaśrīmadabhinavaguptaviracite śrītantrāloke śrījayarathaviracitavivekābhikhyavyākhyopete upādeyabhāvādinirūpaṇaṃ nāma saptatrīmśamāhnikaṃ samāptam ||samāpto'yaṃ granthaḥ,
M00094 - tAratantra.htm,tAratantra_M00094.xml,M00094,Tāratantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00094,,,,,fragments,mixed excerpts,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrībhairavabhairavīsaṃvāde tārātantre ṣaṣṭhaḥ paṭalaḥ || samāpto'yaṃ granthaḥ || followed by: buddhavaśiṣṭhavṛttāntaḥ | rudrayāmale saptadaśapaṭalaḥ | brahmayāmale devīśvarasaṃvāde prathamapaṭale | cuts off at the beginning of tṛtīya,list of sections
M00636 - vimalAnanda - tArAbhaktitaraGgiNI.htm,vimalAnanda_tArAbhaktitaraGgiNI_M00636.xml,M00636,Tārābhaktitaraṅgiṇī,,Vimalānanda,mbP0039,https://muktabodha-digital-library.org/texts/IAST/M00636,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",colophon,,,itivimalānaṃdaviracitāṃtārābhaktitaraṃgīṇīsthasaptaśatikāvidhānaṃsamāptam,
M00055 - narasiMhaThakkura - tArAbhaktisudhArNava.htm,narasiMhaThakkura_tArAbhaktisudhArNava_M00055.xml,M00055,Tārābhaktisudhārṇava,,Narasiṃha Ṭhakkura,mbP0040,https://muktabodha-digital-library.org/texts/IAST/M00055,Arthur Avalon,,,,,11 chapters,,,,,,"['compendium', 'tantric / āgamic literature', 'śākta']",colophon,,,iti tāriṇīkalpaḥ samāptaḥ | iti mahāmahopādhyāya ṭhakkura śrīnarasiṃha viracite tārābhaktisudhārṇave ekādaśastaraṅgaḥ,
M00096 - tArArahasyavRttikA.htm,tArArahasyavRttikA_M00096.xml,M00096,Tārārahasyavṛttikā,,Śaṅkara,mbP0110,https://muktabodha-digital-library.org/texts/IAST/M00096,Pandita Manindra Mohan Chowdhury Kavyatirtha,,,,incomplete,lacking explicit+final colophon; 8 chapters present out of 15,,,M00095,commentary,,"['tantric / āgamic literature', 'śākta']",incipit,Gauḍīya Śaṅkara Ācārya,catalog,kṛtā śrīśaṅkareṇaiṣā tārārahasyavṛttikā,almost at beginning
M00323 - brahmAnanda - tArArahasyavRtti 2.htm,brahmAnanda_tArArahasyavRtti_2_M00323.xml,M00323,Tārārahasyavṛtti,,Śaṅkara,mbP0110,https://muktabodha-digital-library.org/texts/IAST/M00323,,,,,,15 chapters,,,M00095,commentary,,"['tantric / āgamic literature', 'śākta']",colophon,Śrī Śaṅkara Ācārya,colophon,iti śrīśaṅkarācārya viracitāyāṃ tārārahasyavṛttau taṃtracūḍāmaṇau vāsanānīrṇayo nāma pañcadaśamaḥ paṭalaḥ samāptam /// AUTHOR??? guruṇāśca mataṃ jñātvā kṛtā śrīśaṃkareṇa vaiḥ | sarvāmnāyasaṃpannaṃ vai tārārahasyavṛttikā,
M00095 - brahmAnanda - tArArahasya.htm,brahmAnanda_tArArahasya_M00095.xml,M00095,Tārārahasya,,Brahmānanda,mbP0111,https://muktabodha-digital-library.org/texts/IAST/M00095,,,,,,,,,,,,['śākta'],colophon,Brahmānanda Giri / Paramahaṃsa,colophon (within text),brahmānandakṛtau susādhanavidhau tārārahasye śubhe yogācāravidhau caturthapaṭalaḥ sarvārthasiddhipradaḥ || iti tārārahasyatantraṃ samāptam,
M00638 - tArAsahasranAmavyAkhyAbhidhArthacintAmaNi.htm,tArAsahasranAmavyAkhyAbhidhArthacintAmaNi_M00638.xml,M00638,Tārāsahasranāmavyākhyā Abhidhārthacintāmaṇi,,Viśveśvaraḥ,mbP0115,https://muktabodha-digital-library.org/texts/IAST/M00638,,,,,uncertain,yes?,,,ilxM00096,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",catalog,,,saṃvat 1942 caitrakṛṣṇapakṣecatudaśyārivevārā || śrīparamadevatāprītābhavaṃtu || śubhaṃ || tārāsahasranāmnāvyākhyāviśveśvarākhyasya | nirmitirapagatadoṣātārābhaktābjabhānurastīyaṃ tārāsahasranāmadīṭīkā,
M00258 - timirodhghATatantra.htm,timirodhghATatantra_M00258.xml,M00258,Timirodhghāṭatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00258,,,,,incomplete,,,,,,,"['tantra / āgama', 'śaiva']",,,,iti timirodghāṭanai (e) dvitīyaḥ paṭalaḥ,in middle
M00114 - tejobindUpaniSat.htm,tejobindUpaniSat_M00114.xml,M00114,Tejobindūpaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00114,Śāstrī Mahādeva,,,,,,colophon,Tejobindu Upaniṣat,ilxM00029,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ tejobindoḥ sphuṭaṃ laghu // itīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe saptatriṃśatsaṃkhyāpūrakaṃ tejobindūpaniṣadvivaraṇaṃ saṃpūrṇam,
M00203 - tridazaDAmaratantre siddhikaalIstotra.htm,tridazaDAmaratantre_siddhikaalIstotra_M00203.xml,M00203,Tridaśaḍāmaratantre Siddhikalīstotra,,,,https://muktabodha-digital-library.org/texts/IAST/M00203,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'śākta']",,,,iti śrītridaśaḍāmare śrīsiddhikālī stotraṃ saṃpūrṇaṃ /// iti tridaśaḍāmare śrīsiddhikālī mantroddhāra saṃpūrṇaṃ /// śubhaṃ || pūrṇam,towards end /// at end
M00204 - tridazaDAmarApratyaGgirAvizayakanAnAtantra.htm,tridazaDAmarApratyaGgirAvizayakanAnAtantra_M00204.xml,M00204,Tridaśaḍāmarāpratyaṅgirāviśayakanānātantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00204,,,,,fragments,collection of excerpts/fragments,,,,,,"['tantric / āgamic literature', 'śākta']",,,,iti śrītridaśaḍāmare mahātantre catuḥtriṃśatisāhasre śrīpratyaṃgirātpattimūlamantroddhāravidhiṃ ekāśītitamaḥ paṭalaḥ /// iti śrījayadrathayāmale vidyāpīṭhe bhairavaśrotasiśiraścchede caturviṃśati sāhasre dvitīyaṣaṭke śrīsiddhalakṣmī vidhāne mūlamālāmantraprakāśa ekaviṃśatitamaḥ paṭalaḥ samāptaḥ /// iti śrīmahākulakrame ḍāmare karavīrayoge vidyāmantrodayacakravarṇano nāmaprathama paṭalaḥ (AND 2-3-4-5)/// iti śrīkālasaṃkarṣaṇimate trailokyamohane caturviṃśatisāhasre vidyāsamudāya śrīsiddhikālī kramaṭiyiṇikaṃ prathamaḥ paṭalaḥ (AND 2-3-5-6) /// iti śrīkulaḍāmare siddhalakṣmīvidyātritayaṃ sāṃkṣepataḥ saṃpūrṇam /// iti śrīmahākullālike prākṛta siddhalakṣmī vidyā samāptaḥ /// iti śrītridaśaḍāmare pratyaṃgirā devyā mahāstavādhikāram || saṃvat 738 thvadaṃ śrī 3 bhavānīśaṃkaraprītina śrīkālīdāsa na saṃcayayāhā || umeśa prīṃtayetantrā kālīdāsena saṃcitam /// + ADDITIONAL TEXT LACKING EXPLICIT+COLOPHON,
M00637 - tripurabhairavIpaJcAGga.htm,tripurabhairavIpaJcAGga_M00637.xml,M00637,Tripurabhairavīpañcāṅga,,,,https://muktabodha-digital-library.org/texts/IAST/M00637,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,itiśrītripurabhairavīpaṃcamāṃgastotraṃsaṃpūrṇaṃśubham || bhadram,
M00639 - tripurasundarIsahasranAmastotra.htm,tripurasundarIsahasranAmastotra_M00639.xml,M00639,Tripurasundarīsahasranāmastotra,,,,https://muktabodha-digital-library.org/texts/IAST/M00639,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,śrīvāmakeśvarataṃtrehara (* * *?) śrīrājarājeśvarīmahātripurasuṃdarīsaha (* * *?) stotraṃsamāptamitiśivaṃ,
M00344 - hAritAyana - tripurArahasya jJAnakhaNDa.htm,hAritAyana_tripurArahasya_jJAnakhaNDa_M00344.xml,M00344,Tripurārahasya Jñānakhaṇḍa Tātparyadīpikā,,Śrīnivāsa,mbP0137,https://muktabodha-digital-library.org/texts/IAST/M00344,,,,,incomplete,only the jñānakhaṇḍa,colophon,,,commentary on jñānakhaṇḍa,including the mūla,"['tantric / āgamic literature', 'śākta', 'śrī-vidyā']",colophon,,,"iti śrītripurārahasyajñānakhaṇḍavyākhyāyāṃ tātparyadīpikāyāṃ śrīnivāsavibudhaviracitāyāṃ (k, kh: budha ityeva) dvāviṃśo'dhyāyaḥ",
M00221 - tripurArahasya mAhatmyakaNDham.htm,tripurArahasya_mAhatmyakaNDham_M00221.xml,M00221,Tripurārahasya Māhatmyakaṇḍham,,,,https://muktabodha-digital-library.org/texts/IAST/M00221,,,,,incomplete,only the māhatmyakaṇḍha,,,,,,"['tantric / āgamic literature', 'śākta']",,,,iti śrīmaditihāsottame tripurārahasye māhātmyakhaṇḍe upāsakamukhyadharmavarṇanaṃ nāmā'śītitamo'dhyāyaḥ || tripurāmbārpitamastu | oṃ tat sat || samāptamidaṃ tripurārahasye māhātmyakhaṇḍam,
M00297 - trizikhibrAhmaNopaniSat.htm,trizikhibrAhmaNopaniSat_M00297.xml,M00297,Triśikhibrāhmaṇopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00297,Śāstrī Mahādeva,,,,,,colophon,Triśikhibrāhmaṇa Upaniṣat,ilxM00031,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | prakṛtopaniṣadvyākhyā likhitā sphuṭato laghu || prakṛtopaniṣadvyākhyā ṣaṣṭyuttaraśatatrayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe catuścatvāriṃśatsaṃkhyāpūrakaṃ triśikhibrāhmaṇopaniṣadvivaraṇaṃ saṃpūrṇam,
M00313 - troTalAtantra.htm,troTalAtantra_M00313.xml,M00313,Troṭalātantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00313,,,,,,9 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta']",,,,ityādye troṭale mahātantre tvaritāmūlasūtre navamaḥ paṭalaḥ samāptaḥ,
M00534 - troTalottara.htm,troTalottara_M00534.xml,M00534,Troṭalottara,,,,https://muktabodha-digital-library.org/texts/IAST/M00534,,,,,,,,Tottalottara,,,,['tantra / āgama'],,,,iti troṭalottare mahātaṃtre ekādaśasāhasrasya paṃcatriṃśatimodhyāyaḥ || iti tvaritājñānakalpa samāptaḥ /// iti troṭalottaro nāma samāptaḥ /// iti tvaritāstotraṃ śārdūlavikrīḍitaṃ dvādaśaślokaṃ samāptamiti || iti maṃgala mahāśrīḥ /// end - iti sārddhanavākṣaryāsthānavinyāsadhyānasūtraṃ samāptamiti,in middle /// at end
M00541 - dakSiNakAlIpUjApaddhati.htm,dakSiNakAlIpUjApaddhati_M00541.xml,M00541,Dakṣiṇakālīpūjāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00541,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti śrīmaddakṣiṇakālikāpūjāpaddhati samāptā | oṃ tatsat gurave namaḥ | śubham,
M00625 - dakSiNAmUrtisaMhitA.htm,dakSiNAmUrtisaMhitA_M00625.xml,M00625,Dakṣiṇāmūrtisaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00625,,,,,,,,,,,,['śaiva'],,,,itiśrīdakṣiṇāmūrtisaṃhitāyāṃ damanakāropaṇaṃnaimittikapūjāvidhānaṃ nāmatrayastriṃśatitamaḥpaṭalaḥ || saṃpūrṇaiṣāṃdakṣiṇāmūrtisaṃhitā śubham,
M00632 - dattAtreyatantra.htm,dattAtreyatantra_M00632.xml,M00632,Dattātreyatantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00632,,,,,,22 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,itiśrīdattātreyataṃtresiṃhavyāghrādinivāraṇaṃnāmadvāviṃśatipaṭalaḥ || ādarśadoṣāgatibibhramādva (***) yadarthahīnaṃlikhitaṃ mayāhi kṣamasvadevaparamātmarūparakṣāṃsadādehi bhayāturasya ||,
E00003 - dattAtreyabodha.htm,dattAtreyabodha_E00003.xml,E00003,Dattātreyabodha,,,,https://muktabodha-digital-library.org/texts/IAST/E00003,,,,,incomplete,lacking incipit,,,,,,"['tantric / āgamic literature', 'yoga']",,,,iti dattātreyabodhaḥ samāptaḥ || hariḥ oṃ || śubhamastu,
