sub_folder,file,title,author,url,best_text,duplicate_of_standard
darśanāni,jinendraguṇasaṃstutiḥ.xml,Jinendraguṇasaṃstuti,,https://sa.wikisource.org/wiki/%E0%A4%9C%E0%A4%BF%E0%A4%A8%E0%A5%87%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%97%E0%A5%81%E0%A4%A3%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%81%E0%A4%A4%E0%A4%BF%E0%A4%83,,
darśanāni,jīvanmuktānandalaharī.xml,Jīvanmuktānandalaharī,,https://sa.wikisource.org/wiki/%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A4%A8%E0%A5%8D%E0%A4%AE%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%B2%E0%A4%B9%E0%A4%B0%E0%A5%80,,
darśanāni,karmanirṇayaḥ.xml,Karmanirṇaya,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%AF%E0%A4%83,,
darśanāni,kaupīnapañcakam.xml,Kaupīnapañcaka,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%8C%E0%A4%AA%E0%A5%80%E0%A4%A8%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%95%E0%A4%AE%E0%A5%8D,,
darśanāni,kenopaniṣadbhāṣyam.xml,Kenopaniṣadbhāṣya,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%87%E0%A4%A8%E0%A5%8B%E0%A4%AA%E0%A4%A8%E0%A4%BF%E0%A4%B7%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,,
darśanāni,kriyāsāraḥ.xml,Kriyāsāra,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B0%E0%A4%83,,
darśanāni,kārikāvali.xml,Kārikāvali,,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A4%B2%E0%A4%BF,,
darśanāni,laghuvākyavṛttiḥ.xml,Laghuvākyavṛtti,,https://sa.wikisource.org/wiki/%E0%A4%B2%E0%A4%98%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%83,,
darśanāni,laghuyogavāsiṣṭhaḥ.xml,Laghuyogavāsiṣṭha,,https://sa.wikisource.org/wiki/%E0%A4%B2%E0%A4%98%E0%A5%81%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%A0%E0%A4%83,,
darśanāni,manīṣāpañcakam.xml,Manīṣāpañcaka,,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A4%A8%E0%A5%80%E0%A4%B7%E0%A4%BE%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%95%E0%A4%AE%E0%A5%8D,,
darśanāni,mokṣopāyaṭīkā.xml,Mokṣopāyaṭīkā,Bhāskarakaṇṭha,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A5%8B%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A5%8B%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A4%9F%E0%A5%80%E0%A4%95%E0%A4%BE,,
darśanāni,muṇḍakopaniṣadbhāṣyam.xml,Muṇḍakopaniṣadbhāṣya,,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A5%81%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%95%E0%A5%8B%E0%A4%AA%E0%A4%A8%E0%A4%BF%E0%A4%B7%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,,
darśanāni,mānameyodayaḥ_nārāyaṇabhaṭṭaḥ.xml,Mānameyodaya,Nārāyaṇabhaṭṭa,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%AE%E0%A5%87%E0%A4%AF%E0%A5%8B%E0%A4%A6%E0%A4%AF%E0%A4%83,,
darśanāni,māyāpañcakam.xml,Māyāpañcaka,,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%AF%E0%A4%BE%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%95%E0%A4%AE%E0%A5%8D,,
darśanāni,mīmāṃsānyāyaprakāśaḥ_āpadevaḥ.xml,Mīmāṃsānyāyaprakāśa,Āpadeva,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B6%E0%A4%83,,
darśanāni,mīmāṃsāparibhāṣā_kṛṣṇayajvaḥ.xml,Mīmāṃsāparibhāṣā,Kṛṣṇayajva,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A5%80%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%B8%E0%A4%BE%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,,
darśanāni,naiṣkarmyasiddhiḥ.xml,Naiṣkarmyasiddhi,Sureśvara,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A5%88%E0%A4%B7%E0%A5%8D%E0%A4%95%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A5%8D%E0%A4%AF%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%83,,
darśanāni,nayamayūkhamālikā.xml,Nayamayūkhamālikā,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A4%AF%E0%A4%AE%E0%A4%AF%E0%A5%82%E0%A4%96%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,nayasaṅgatimālikā.xml,Nayasaṅgatimālikā,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A4%AF%E0%A4%B8%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A4%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE,,
darśanāni,nirguṇamānasapūjā.xml,Nirguṇamānasapūjā,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A5%81%E0%A4%A3%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A4%AA%E0%A5%82%E0%A4%9C%E0%A4%BE,,
darśanāni,nirvāṇamañjarī.xml,Nirvāṇamañjarī,,https://sa.wikisource.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%A3%E0%A4%AE%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%B0%E0%A5%80,,
